scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;1;55;22000;2.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.623;7.999;7.377;7.358;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;2;75;30000;3.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.05;7.966;6.999;6.974;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;3;360;144000;14.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;4.649;7.99;6.488;6.328;29.014;29.014;29.014;29.014;11.768;11.768;11.768;11.768
check4factor;4;70;28000;2.8;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.488;7.979;7.429;7.462;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
check4factor;5;94;37600;3.76;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.416;7.943;7.21;7.189;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
check4factor;6;266;106400;10.64;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.547;7.995;6.926;6.857;29.014;29.014;29.014;29.014;6.666;10.787;8.928;10.787
check4factor;7;92;36800;3.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.147;8.0;7.13;7.172;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;8;264;105600;10.56;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.44;8.0;7.46;7.492;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;9;170;68000;6.8;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.483;7.99;6.708;6.627;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
check4factor;10;80;32000;3.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.876;7.987;7.529;7.575;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;11;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.756;7.993;7.481;7.549;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;12;1105;442000;44.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.928;7.993;7.144;7.138;29.014;29.135;29.026;29.014;5.232;6.666;6.525;6.666
check4factor;13;53;21200;2.12;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.761;7.99;7.622;7.755;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;14;372;148800;14.88;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.364;7.998;7.423;7.445;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;15;87;34800;3.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.744;7.954;7.503;7.588;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;16;225;90000;9.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.357;7.991;7.305;7.305;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;17;57;22800;2.28;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.432;7.989;7.316;7.359;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;18;62;24800;2.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.442;7.992;7.144;7.258;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;19;198;79200;7.92;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.157;7.993;7.172;7.149;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;20;1259;503600;50.36;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.868;32.861;32.86;6.304;7.999;7.235;7.188;29.135;29.149;29.148;29.149;4.3;5.232;4.348;4.3
check4factor;21;187;74800;7.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.868;32.865;32.868;6.273;7.986;7.125;7.088;29.135;29.149;29.141;29.135;4.3;5.232;4.844;5.232
check4factor;22;121;48400;4.84;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.409;7.987;7.303;7.377;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
