scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;1;61;24400;2.44;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.05;7.966;6.932;6.824;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;2;202;80800;8.08;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.225;7.978;6.557;6.442;29.014;29.014;29.014;29.014;11.768;11.768;11.768;11.768
check4factor;3;55;22000;2.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.488;7.979;7.394;7.407;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
check4factor;4;61;24400;2.44;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.491;7.943;7.277;7.287;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
check4factor;5;51;20400;2.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.317;8.0;7.169;7.184;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;6;184;73600;7.36;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.547;7.98;6.808;6.727;29.014;29.014;29.014;29.014;6.666;10.787;8.771;10.787
check4factor;7;216;86400;8.64;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.44;8.0;7.429;7.456;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;8;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.483;7.696;6.673;6.726;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
check4factor;9;66;26400;2.64;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.876;7.97;7.495;7.56;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;10;51;20400;2.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.761;7.99;7.611;7.74;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;11;55;22000;2.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.95;7.938;7.483;7.545;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;12;157;62800;6.28;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.928;7.993;7.157;7.246;29.014;29.135;29.023;29.014;5.232;6.666;6.556;6.666
check4factor;13;129;51600;5.16;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.522;7.985;7.405;7.417;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;14;54;21600;2.16;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.364;7.987;7.252;7.216;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;15;67;26800;2.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.744;7.954;7.49;7.524;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;16;392;156800;15.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.116;7.992;7.221;7.208;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;17;175;70000;7.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.373;7.991;7.317;7.315;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;18;51;20400;2.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.432;7.989;7.279;7.296;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;19;54;21600;2.16;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.442;7.992;7.088;7.23;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;20;64;25600;2.56;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.281;7.993;7.169;7.143;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;21;903;361200;36.12;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.868;32.861;32.86;6.304;7.999;7.237;7.214;29.135;29.149;29.148;29.149;4.3;5.232;4.365;4.3
check4factor;22;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.868;32.865;32.868;6.333;7.967;7.284;7.285;29.135;29.149;29.14;29.135;4.3;5.232;4.922;5.232
check4factor;23;108;43200;4.32;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.409;7.981;7.277;7.325;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;24;115;46000;4.6;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.378;7.98;7.202;7.093;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;25;108;43200;4.32;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.275;7.978;7.163;7.117;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;26;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.152;7.992;7.213;7.242;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;27;74;29600;2.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.142;7.998;7.226;7.228;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;28;199;79600;7.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.376;7.946;6.879;6.891;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;29;57;22800;2.28;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.346;7.504;6.099;5.962;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
check4factor;30;94;37600;3.76;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.224;7.999;7.376;7.446;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;31;91;36400;3.64;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.55;7.985;7.407;7.441;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;32;4285;1714000;171.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.866;32.866;32.866;5.691;8.0;7.25;7.253;29.073;29.149;29.074;29.073;4.3;6.051;6.028;6.051
check4factor;33;50;20000;2.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.111;7.83;6.78;6.708;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;34;117;46800;4.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.93;7.985;6.919;6.784;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;35;112;44800;4.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.786;7.855;6.988;7.013;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;36;410;164000;16.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.393;7.99;6.709;6.702;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;37;85;34000;3.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.37;7.995;7.345;7.439;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;38;617;246800;24.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.743;8.0;6.942;6.92;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;39;62;24800;2.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.768;7.574;6.684;6.539;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
check4factor;40;98;39200;3.92;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.075;7.999;7.297;7.357;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;41;58;23200;2.32;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.369;7.999;7.524;7.661;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;42;89;35600;3.56;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.014;7.862;6.746;6.68;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;43;91;36400;3.64;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.288;7.972;7.074;7.034;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;44;101;40400;4.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.381;7.999;7.208;7.196;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;45;80;32000;3.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.517;7.994;7.268;7.326;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;46;121;48400;4.84;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.187;7.997;7.338;7.427;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;47;57;22800;2.28;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.31;7.988;7.236;7.138;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;48;72;28800;2.88;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.267;7.865;6.967;6.886;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;49;380;152000;15.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.866;32.866;32.866;6.28;7.996;7.238;7.215;29.073;29.149;29.073;29.073;4.3;6.051;6.046;6.051
