scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;1;116;46400;4.64;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;5.563;7.998;7.21;7.375;28.951;28.951;28.951;28.951;13.535;13.535;13.535;13.535
check4factor;2;152;60800;6.08;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;6.072;7.997;7.607;7.67;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
check4factor;3;70;28000;2.8;factor_suitability_2025_Depth_35m_2025_highest.tif;32.89;32.89;32.89;32.89;5.575;7.455;6.572;6.627;29.093;29.093;29.093;29.093;9.216;9.216;9.216;9.216
check4factor;4;896;358400;35.84;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.664;7.999;6.932;6.899;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;5;243;97200;9.72;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.366;7.998;7.238;7.302;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;6;82;32800;3.28;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.05;7.966;7.063;7.069;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;7;210;84000;8.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.227;7.985;7.127;7.155;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
check4factor;8;226;90400;9.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.348;7.99;7.422;7.475;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
check4factor;9;875;350000;35.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;4.649;7.991;6.417;6.308;29.014;29.014;29.014;29.014;11.768;11.768;11.768;11.768
check4factor;10;193;77200;7.72;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.416;7.967;7.307;7.376;29.135;29.135;29.135;29.135;5.232;6.178;5.953;6.178
check4factor;11;76;30400;3.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.11;7.997;6.773;6.745;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;12;552;220800;22.08;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.547;7.999;7.001;6.96;29.014;29.014;29.014;29.014;6.666;10.787;9.652;10.787
check4factor;13;600;240000;24.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.533;8.0;7.066;7.105;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;14;62;24800;2.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.387;7.983;7.437;7.519;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;15;315;126000;12.6;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.453;7.991;6.798;6.767;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
check4factor;16;307;122800;12.28;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.401;8.0;7.46;7.501;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;17;299;119600;11.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.443;7.993;7.461;7.549;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;18;86;34400;3.44;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.876;7.987;7.535;7.575;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;19;3474;1389600;138.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.676;7.999;7.192;7.189;29.014;29.135;29.079;29.135;5.232;6.666;5.902;5.232
check4factor;20;53;21200;2.12;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.761;7.99;7.622;7.755;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;21;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.957;7.991;7.565;7.603;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;22;106;42400;4.24;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.744;7.984;7.523;7.618;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
check4factor;23;682;272800;27.28;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.868;32.867;32.868;6.273;7.997;7.28;7.285;29.135;29.149;29.137;29.135;4.3;5.232;5.09;5.232
check4factor;24;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.442;7.992;7.156;7.266;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
check4factor;25;1280;512000;51.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.868;32.861;32.86;6.304;7.999;7.236;7.188;29.135;29.149;29.148;29.149;4.3;5.232;4.347;4.3
check4factor;26;130;52000;5.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.409;7.987;7.316;7.392;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;27;50;20000;2.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;7.167;7.984;7.751;7.778;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;28;110;44000;4.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.275;7.978;7.175;7.13;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;29;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.152;7.992;7.213;7.242;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;30;225;90000;9.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.381;7.989;7.244;7.258;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;31;74;29600;2.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.142;7.998;7.226;7.228;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;32;52;20800;2.08;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.778;7.999;7.695;7.767;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;33;12695;5078000;507.8;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.866;32.866;32.866;5.291;8.0;7.11;7.127;29.073;29.149;29.074;29.073;4.3;8.117;6.246;6.051
check4factor;34;50;20000;2.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.615;7.993;7.568;7.602;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;35;243;97200;9.72;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.346;7.504;6.276;6.253;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
check4factor;36;68;27200;2.72;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.641;7.994;7.603;7.613;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;37;96;38400;3.84;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.224;7.999;7.373;7.399;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;38;74;29600;2.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.575;7.921;7.006;6.979;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;39;71;28400;2.84;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.498;7.971;7.334;7.361;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;40;91;36400;3.64;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.55;7.985;7.407;7.441;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;41;79;31600;3.16;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.236;7.996;7.382;7.534;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;42;86;34400;3.44;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.37;7.995;7.352;7.446;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
check4factor;43;461;184400;18.44;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.298;7.988;6.407;6.402;29.073;29.073;29.073;29.073;8.117;13.171;13.062;13.171
check4factor;44;61;24400;2.44;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.179;7.948;7.139;7.229;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;45;151;60400;6.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.639;7.985;7.179;7.165;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
