scenario,zone_id,pixel_count,area_m2,area_ha,input_file,salinity_mean,depth_mean,temperature_mean,sedimentation_mean
check4factor,1,234,93600,9.36,factor_suitability_2025_Depth_35m_2025_highest.tif,33.099,7.224,28.951,13.535
check4factor,2,114,45600,4.56,factor_suitability_2025_Depth_35m_2025_highest.tif,33.099,7.694,28.951,13.535
check4factor,3,154,61600,6.16,factor_suitability_2025_Depth_35m_2025_highest.tif,33.099,7.466,28.951,13.535
check4factor,4,189,75600,7.56,factor_suitability_2025_Depth_35m_2025_highest.tif,33.099,7.624,28.951,11.639
check4factor,5,77,30800,3.08,factor_suitability_2025_Depth_35m_2025_highest.tif,33.099,7.302,28.951,11.639
check4factor,6,184,73600,7.36,factor_suitability_2025_Depth_35m_2025_highest.tif,32.89,6.704,29.093,9.216
check4factor,7,57,22800,2.28,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.705,29.014,7.821
check4factor,8,6888,2755200,275.52,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.106,29.015,8.307
check4factor,9,63,25200,2.52,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.524,29.014,8.312
check4factor,10,130,52000,5.2,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,6.798,29.131,6.26
check4factor,11,96,38400,3.84,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.621,29.135,6.178
check4factor,12,369,147600,14.76,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.408,29.135,6.178
check4factor,13,876,350400,35.04,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,6.419,29.014,11.768
check4factor,14,57,22800,2.28,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.635,29.135,6.178
check4factor,15,82,32800,3.28,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,6.667,29.014,11.361
check4factor,16,198,79200,7.92,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.318,29.135,5.958
check4factor,17,138,55200,5.52,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,6.861,29.014,6.666
check4factor,18,589,235600,23.56,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,6.995,29.014,9.724
check4factor,19,746,298400,29.84,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.097,29.014,6.666
check4factor,20,168,67200,6.72,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.165,29.014,6.666
check4factor,21,315,126000,12.6,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,6.798,29.014,10.787
check4factor,22,74,29600,2.96,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.501,29.135,5.232
check4factor,23,307,122800,12.28,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.46,29.135,5.232
check4factor,24,337,134800,13.48,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.423,29.135,5.232
check4factor,25,86,34400,3.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.535,29.135,5.232
check4factor,26,4336,1734400,173.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.163,29.087,5.797
check4factor,27,63,25200,2.52,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.565,29.135,5.232
check4factor,28,106,42400,4.24,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.523,29.135,5.232
check4factor,29,682,272800,27.28,factor_suitability_2025_Depth_35m_2025_highest.tif,32.867,7.28,29.137,5.09
check4factor,30,66,26400,2.64,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.18,29.014,6.666
check4factor,31,1280,512000,51.2,factor_suitability_2025_Depth_35m_2025_highest.tif,32.861,7.236,29.148,4.347
check4factor,32,130,52000,5.2,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.316,29.149,4.3
check4factor,33,50,20000,2.0,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.751,29.073,6.051
check4factor,34,110,44000,4.4,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.175,29.149,4.3
check4factor,35,63,25200,2.52,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.213,29.149,4.3
check4factor,36,225,90000,9.0,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.244,29.073,6.051
check4factor,37,74,29600,2.96,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.226,29.149,4.3
check4factor,38,52,20800,2.08,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.695,29.073,6.051
check4factor,39,12867,5146800,514.68,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.109,29.074,6.254
check4factor,40,50,20000,2.0,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.568,29.073,6.051
check4factor,41,25101,10040400,1004.04,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.097,29.073,7.94
check4factor,42,68,27200,2.72,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.603,29.073,6.051
check4factor,43,96,38400,3.84,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.373,29.149,4.3
check4factor,44,79,31600,3.16,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.05,29.073,8.117
check4factor,45,71,28400,2.84,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.334,29.149,4.3
check4factor,46,91,36400,3.64,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.407,29.149,4.3
check4factor,47,83,33200,3.32,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.392,29.073,6.051
check4factor,48,86,34400,3.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.352,29.149,4.3
check4factor,49,319,127600,12.76,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.341,29.073,8.117
check4factor,50,62,24800,2.48,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.139,29.073,8.117
check4factor,51,179,71600,7.16,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.184,29.073,8.117
check4factor,52,152,60800,6.08,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.184,29.073,8.117
check4factor,53,61,24400,2.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.52,29.149,4.3
check4factor,54,3271,1308400,130.84,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.243,29.073,8.117
check4factor,55,124,49600,4.96,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.343,29.149,4.3
check4factor,56,159,63600,6.36,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.229,29.073,8.117
check4factor,57,78,31200,3.12,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.565,29.073,8.117
check4factor,58,59,23600,2.36,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.252,29.073,8.117
check4factor,59,127,50800,5.08,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.075,29.073,8.117
check4factor,60,51,20400,2.04,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.336,29.073,8.117
check4factor,61,187,74800,7.48,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.475,29.073,8.117
check4factor,62,59,23600,2.36,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.168,29.073,6.051
check4factor,63,62,24800,2.48,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.316,29.073,6.051
check4factor,64,313,125200,12.52,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.379,29.073,5.618
check4factor,65,172,68800,6.88,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,7.169,29.149,4.215
check4factor,66,1039,415600,41.56,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.289,29.073,6.171
check4factor,67,303,121200,12.12,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.197,29.073,5.059
check4factor,68,131,52400,5.24,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.582,29.073,4.592
check4factor,69,120,48000,4.8,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.426,29.073,4.845
check4factor,70,287,114800,11.48,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.266,29.073,4.196
check4factor,71,101,40400,4.04,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.135,29.073,4.799
check4factor,72,3761,1504400,150.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.284,29.073,4.196
check4factor,73,225,90000,9.0,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.497,29.073,5.612
check4factor,74,155,62000,6.2,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.252,29.073,4.342
check4factor,75,2434,973600,97.36,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.203,29.073,5.612
check4factor,76,180,72000,7.2,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.244,29.073,5.612
check4factor,77,66,26400,2.64,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.114,29.073,8.214
check4factor,78,87,34800,3.48,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.317,29.073,4.196
check4factor,79,84,33600,3.36,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.514,29.073,4.196
check4factor,80,57,22800,2.28,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.527,29.073,5.612
check4factor,81,2124,849600,84.96,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.132,29.073,8.214
check4factor,82,95,38000,3.8,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.455,29.073,5.612
check4factor,83,52,20800,2.08,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.352,29.073,8.214
check4factor,84,59,23600,2.36,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.578,29.073,5.612
check4factor,85,70,28000,2.8,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,7.325,29.073,5.612
