scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
noCheck4factor;1;106;42400;4.24;factor_suitability_2025_Depth_35m_2025_highest.tif;33.065;33.099;33.094;33.099;7.21;12.552;8.939;8.508;28.951;29.037;28.964;28.951;10.687;16.128;15.307;16.128
noCheck4factor;2;56;22400;2.24;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.623;8.711;7.4;7.37;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
noCheck4factor;3;81;32400;3.24;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;7.326;14.92;9.854;9.118;29.135;29.135;29.135;29.135;5.272;5.272;5.272;5.272
noCheck4factor;4;153;61200;6.12;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.302;20.114;9.401;8.499;29.135;29.135;29.135;29.135;5.272;5.272;5.272;5.272
noCheck4factor;5;145;58000;5.8;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.05;9.561;7.274;7.035;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
noCheck4factor;6;117;46800;4.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.735;22.325;10.093;8.631;29.135;29.135;29.135;29.135;5.272;5.272;5.272;5.272
noCheck4factor;7;424;169600;16.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;4.649;12.309;6.857;6.499;29.014;29.014;29.014;29.014;11.768;11.768;11.768;11.768
noCheck4factor;8;105;42000;4.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.488;12.451;7.816;7.707;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
noCheck4factor;9;88;35200;3.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.602;13.9;8.863;7.991;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
noCheck4factor;10;105;42000;4.2;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;7.408;13.306;9.183;8.42;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
noCheck4factor;11;110;44000;4.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.416;9.126;7.386;7.343;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
noCheck4factor;12;162;64800;6.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.182;11.355;7.916;7.684;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
noCheck4factor;13;523;209200;20.92;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.547;13.453;7.777;7.6;29.014;29.014;29.014;29.014;6.666;10.787;8.849;10.787
noCheck4factor;14;131;52400;5.24;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.147;9.831;7.539;7.452;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
noCheck4factor;15;1760;704000;70.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.364;14.877;8.744;8.256;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
noCheck4factor;16;1267;506800;50.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.44;13.957;8.605;8.259;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
noCheck4factor;17;62;24800;2.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.701;13.635;8.539;8.259;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
noCheck4factor;18;191;76400;7.64;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.483;8.964;6.867;6.728;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
noCheck4factor;19;2104;841600;84.16;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.868;32.868;32.868;5.928;16.934;7.863;7.491;29.014;29.135;29.046;29.014;5.232;6.666;6.292;6.666
noCheck4factor;20;117;46800;4.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;7.14;11.039;8.305;8.031;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
noCheck4factor;21;133486;53394400;5339.44;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.868;32.866;32.866;5.088;27.391;8.881;8.254;29.073;29.149;29.077;29.073;3.317;13.171;5.868;5.612
noCheck4factor;22;137;54800;5.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.442;12.374;8.053;7.934;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
noCheck4factor;23;56;22400;2.24;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.245;10.463;7.919;7.679;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
noCheck4factor;24;547;218800;21.88;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.409;14.574;8.466;8.137;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
noCheck4factor;25;135;54000;5.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.381;11.446;7.985;7.82;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
noCheck4factor;26;127;50800;5.08;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.504;21.096;9.871;9.457;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
noCheck4factor;27;71;28400;2.84;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.346;7.504;6.068;5.943;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
noCheck4factor;28;459;183600;18.36;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.202;15.139;8.939;8.41;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
noCheck4factor;29;146;58400;5.84;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.575;13.49;7.947;7.654;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
noCheck4factor;30;2201;880400;88.04;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.786;14.648;8.207;7.89;29.073;29.073;29.073;29.073;6.051;8.117;8.024;8.117
noCheck4factor;31;973;389200;38.92;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.187;13.49;8.639;8.433;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
noCheck4factor;32;368;147200;14.72;factor_suitability_2025_Depth_35m_2025_highest.tif;32.86;32.86;32.86;32.86;6.369;17.568;9.041;8.885;29.149;29.149;29.149;29.149;4.3;4.3;4.3;4.3
noCheck4factor;33;77;30800;3.08;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;5.689;8.734;6.716;6.535;29.073;29.073;29.073;29.073;13.171;13.171;13.171;13.171
noCheck4factor;34;120;48000;4.8;factor_suitability_2025_Depth_35m_2025_highest.tif;32.866;32.866;32.866;32.866;6.603;13.028;8.807;8.539;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
