scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
noCheck4factor;1;62;24800;2.48;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.05;8.173;6.952;6.829;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
noCheck4factor;2;213;85200;8.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.225;8.586;6.625;6.476;29.014;29.014;29.014;29.014;11.768;11.768;11.768;11.768
noCheck4factor;3;59;23600;2.36;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.488;8.617;7.449;7.431;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
noCheck4factor;4;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.491;8.335;7.307;7.295;29.135;29.135;29.135;29.135;6.178;6.178;6.178;6.178
noCheck4factor;5;64;25600;2.56;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.317;8.904;7.405;7.388;29.014;29.014;29.014;29.014;6.666;6.666;6.666;6.666
noCheck4factor;6;192;76800;7.68;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.547;8.79;6.872;6.739;29.014;29.014;29.014;29.014;6.666;10.787;8.769;10.787
noCheck4factor;7;300;120000;12.0;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.44;11.311;7.852;7.638;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
noCheck4factor;8;63;25200;2.52;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.483;7.696;6.673;6.726;29.014;29.014;29.014;29.014;10.787;10.787;10.787;10.787
noCheck4factor;9;78;31200;3.12;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.876;9.711;7.639;7.596;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
noCheck4factor;10;165;66000;6.6;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.761;10.032;7.768;7.758;29.135;29.135;29.135;29.135;5.232;5.232;5.232;5.232
