scenario,zone_id,pixel_count,area_m2,area_ha,input_file,salinity_mean,depth_mean,temperature_mean,sedimentation_mean
noCheck4factor,1,996,398400,39.84,factor_suitability_2025_Depth_35m_2025_highest.tif,33.099,8.078,28.951,13.535
noCheck4factor,2,5574,2229600,222.96,factor_suitability_2025_Depth_35m_2025_highest.tif,33.099,10.305,28.951,11.639
noCheck4factor,3,5832,2332800,233.28,factor_suitability_2025_Depth_35m_2025_highest.tif,33.094,10.994,28.965,15.246
noCheck4factor,4,51,20400,2.04,factor_suitability_2025_Depth_35m_2025_highest.tif,33.065,9.518,29.037,10.687
noCheck4factor,5,203,81200,8.12,factor_suitability_2025_Depth_35m_2025_highest.tif,32.89,6.939,29.093,9.216
noCheck4factor,6,61,24400,2.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.743,29.014,7.821
noCheck4factor,7,9360,3744000,374.4,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.605,29.017,8.269
noCheck4factor,8,3110,1244000,124.4,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,14.238,29.135,5.272
noCheck4factor,9,1261,504400,50.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,7.015,29.014,11.557
noCheck4factor,10,6799,2719600,271.96,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,10.777,29.135,5.911
noCheck4factor,11,1773,709200,70.92,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,13.683,29.135,4.402
noCheck4factor,12,3617,1446800,144.68,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,8.158,29.014,7.981
noCheck4factor,13,527111,210844400,21084.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.869,10.186,29.057,6.212
noCheck4factor,14,187,74800,7.48,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,8.956,29.014,10.787
noCheck4factor,15,583,233200,23.32,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,11.086,29.149,3.249
noCheck4factor,16,211,84400,8.44,factor_suitability_2025_Depth_35m_2025_highest.tif,32.86,14.183,29.149,3.317
noCheck4factor,17,429,171600,17.16,factor_suitability_2025_Depth_35m_2025_highest.tif,32.874,7.974,28.936,13.455
noCheck4factor,18,508,203200,20.32,factor_suitability_2025_Depth_35m_2025_highest.tif,32.874,8.711,28.936,7.981
noCheck4factor,19,193,77200,7.72,factor_suitability_2025_Depth_35m_2025_highest.tif,32.866,9.292,29.073,5.919
noCheck4factor,20,256,102400,10.24,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,11.789,29.115,3.349
noCheck4factor,21,350,140000,14.0,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,10.906,29.115,3.366
noCheck4factor,22,12779,5111600,511.16,factor_suitability_2025_Depth_35m_2025_highest.tif,32.868,11.688,29.112,4.108
noCheck4factor,23,90,36000,3.6,factor_suitability_2025_Depth_35m_2025_highest.tif,32.876,11.509,29.015,5.805
noCheck4factor,24,76,30400,3.04,factor_suitability_2025_Depth_35m_2025_highest.tif,32.876,11.159,29.015,5.346
noCheck4factor,25,8926,3570400,357.04,factor_suitability_2025_Depth_35m_2025_highest.tif,32.881,8.264,28.967,9.96
