scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
noCheck4factor;1;252;100800;10.08;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;5.563;13.195;7.917;7.921;28.951;28.951;28.951;28.951;13.535;13.535;13.535;13.535
noCheck4factor;2;677;270800;27.08;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;6.951;15.311;10.152;9.921;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;3;66;26400;2.64;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;5.578;10.762;8.752;8.576;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;4;292;116800;11.68;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;6.072;11.799;8.141;7.938;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;5;82;32800;3.28;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;7.123;13.831;9.297;8.788;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;6;927;370800;37.08;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;7.027;16.322;10.814;10.708;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;7;206;82400;8.24;factor_suitability_2025_Depth_35m_2025_highest.tif;33.099;33.099;33.099;33.099;7.229;14.093;11.369;11.518;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
noCheck4factor;8;1149;459600;45.96;factor_suitability_2025_Depth_35m_2025_highest.tif;33.065;33.099;33.073;33.065;6.822;15.86;10.195;10.165;28.951;29.037;29.018;29.037;10.687;16.128;11.918;10.687
noCheck4factor;9;51;20400;2.04;factor_suitability_2025_Depth_35m_2025_highest.tif;33.065;33.065;33.065;33.065;6.979;15.271;9.518;8.757;29.037;29.037;29.037;29.037;10.687;10.687;10.687;10.687
noCheck4factor;10;70;28000;2.8;factor_suitability_2025_Depth_35m_2025_highest.tif;32.89;32.89;32.89;32.89;5.575;7.455;6.572;6.627;29.093;29.093;29.093;29.093;9.216;9.216;9.216;9.216
noCheck4factor;11;1710;684000;68.4;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;5.664;10.742;7.278;7.173;29.014;29.014;29.014;29.014;8.312;8.312;8.312;8.312
noCheck4factor;12;73;29200;2.92;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.775;11.328;7.805;7.55;29.014;29.135;29.074;29.014;6.178;8.312;7.26;8.312
noCheck4factor;13;1424;569600;56.96;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;6.302;26.099;12.659;12.215;29.135;29.135;29.135;29.135;5.272;5.272;5.272;5.272
noCheck4factor;14;1164;465600;46.56;factor_suitability_2025_Depth_35m_2025_highest.tif;32.868;32.868;32.868;32.868;4.336;12.849;6.943;6.62;29.014;29.014;29.014;29.014;8.312;11.768;11.55;11.768
