zone_id,pixel_count,area_m2,area_ha
286,52,20800,2.08
287,76,30400,3.04
288,471,188400,18.84
289,470,188000,18.8
290,68,27200,2.72
291,157,62800,6.28
292,218,87200,8.72
293,103,41200,4.12
294,55,22000,2.2
295,4264,1705600,170.56
296,416,166400,16.64
297,50,20000,2.0
298,147,58800,5.88
299,170,68000,6.8
300,374,149600,14.96
301,64,25600,2.56
302,5055,2022000,202.2
303,3511,1404400,140.44
304,79,31600,3.16
305,515,206000,20.6
306,194,77600,7.76
307,696,278400,27.84
308,63,25200,2.52
309,59,23600,2.36
310,65,26000,2.6
311,160,64000,6.4
312,76,30400,3.04
313,53,21200,2.12
314,997294,398917600,39891.76
315,1361,544400,54.44
316,4390,1756000,175.6
317,74,29600,2.96
318,52,20800,2.08
319,66,26400,2.64
320,51,20400,2.04
321,539,215600,21.56
322,66,26400,2.64
323,94,37600,3.76
324,59,23600,2.36
325,50,20000,2.0
326,2535,1014000,101.4
327,88,35200,3.52
328,281,112400,11.24
329,790,316000,31.6
330,824,329600,32.96
331,72,28800,2.88
332,51,20400,2.04
333,58,23200,2.32
334,56,22400,2.24
335,2047,818800,81.88
336,972,388800,38.88
337,109,43600,4.36
338,90,36000,3.6
339,116,46400,4.64
340,499,199600,19.96
341,78,31200,3.12
342,607,242800,24.28
343,85,34000,3.4
344,125,50000,5.0
345,145,58000,5.8
346,207,82800,8.28
347,65,26000,2.6
348,57,22800,2.28
349,189,75600,7.56
350,564,225600,22.56
351,107,42800,4.28
352,3946,1578400,157.84
353,487,194800,19.48
354,498,199200,19.92
355,60,24000,2.4
356,97,38800,3.88
357,106,42400,4.24
358,477,190800,19.08
359,76,30400,3.04
360,144,57600,5.76
361,51,20400,2.04
362,51,20400,2.04
363,77,30800,3.08
364,72,28800,2.88
365,77,30800,3.08
366,1704,681600,68.16
367,56,22400,2.24
368,147,58800,5.88
369,68,27200,2.72
370,351,140400,14.04
371,191,76400,7.64
372,107,42800,4.28
373,215,86000,8.6
374,56,22400,2.24
375,62,24800,2.48
376,417,166800,16.68
377,62,24800,2.48
378,52,20800,2.08
379,102,40800,4.08
380,589,235600,23.56
381,55,22000,2.2
382,50,20000,2.0
383,111,44400,4.44
384,556,222400,22.24
385,82,32800,3.28
386,115,46000,4.6
387,51,20400,2.04
388,71,28400,2.84
389,51,20400,2.04
390,74,29600,2.96
391,79,31600,3.16
392,131,52400,5.24
393,79,31600,3.16
394,73,29200,2.92
395,50,20000,2.0
396,108,43200,4.32
397,262,104800,10.48
398,859,343600,34.36
399,58,23200,2.32
400,138,55200,5.52
401,189,75600,7.56
402,72,28800,2.88
403,247,98800,9.88
404,56,22400,2.24
405,66,26400,2.64
406,285,114000,11.4
407,97,38800,3.88
408,426,170400,17.04
409,110,44000,4.4
410,126,50400,5.04
411,6262,2504800,250.48
412,111,44400,4.44
413,76,30400,3.04
414,94,37600,3.76
415,100,40000,4.0
416,56,22400,2.24
417,52,20800,2.08
418,54,21600,2.16
419,60,24000,2.4
420,1189,475600,47.56
421,51,20400,2.04
422,669,267600,26.76
423,70,28000,2.8
424,88,35200,3.52
425,148,59200,5.92
426,111,44400,4.44
427,159,63600,6.36
428,86,34400,3.44
429,757,302800,30.28
430,64,25600,2.56
431,71,28400,2.84
432,68,27200,2.72
433,75,30000,3.0
434,91,36400,3.64
435,65,26000,2.6
436,1721,688400,68.84
437,89,35600,3.56
438,837,334800,33.48
439,97,38800,3.88
440,91,36400,3.64
441,56,22400,2.24
442,82,32800,3.28
443,99,39600,3.96
444,286,114400,11.44
445,61,24400,2.44
446,238,95200,9.52
447,50,20000,2.0
448,62,24800,2.48
449,69,27600,2.76
450,103,41200,4.12
451,137,54800,5.48
452,1502,600800,60.08
453,180,72000,7.2
454,617,246800,24.68
455,76,30400,3.04
456,108,43200,4.32
457,400,160000,16.0
458,90,36000,3.6
459,219,87600,8.76
460,128,51200,5.12
461,58,23200,2.32
462,51,20400,2.04
463,96,38400,3.84
464,53,21200,2.12
465,283,113200,11.32
466,490,196000,19.6
467,149,59600,5.96
468,91,36400,3.64
469,88,35200,3.52
470,177,70800,7.08
471,68,27200,2.72
472,55,22000,2.2
473,76,30400,3.04
474,102,40800,4.08
475,80,32000,3.2
476,212,84800,8.48
477,324,129600,12.96
478,265,106000,10.6
479,212,84800,8.48
480,332,132800,13.28
481,292,116800,11.68
482,63,25200,2.52
483,89,35600,3.56
484,62,24800,2.48
485,265,106000,10.6
486,229,91600,9.16
487,146,58400,5.84
488,123,49200,4.92
489,428,171200,17.12
490,503,201200,20.12
491,608,243200,24.32
492,117,46800,4.68
493,125,50000,5.0
494,83,33200,3.32
495,58,23200,2.32
496,177,70800,7.08
497,111,44400,4.44
498,106,42400,4.24
499,78,31200,3.12
500,52,20800,2.08
501,60,24000,2.4
502,108,43200,4.32
503,590,236000,23.6
504,177,70800,7.08
505,62,24800,2.48
506,62,24800,2.48
507,83,33200,3.32
508,868,347200,34.72
509,222,88800,8.88
510,62,24800,2.48
511,70,28000,2.8
512,262,104800,10.48
513,98,39200,3.92
514,269,107600,10.76
515,59,23600,2.36
516,83,33200,3.32
517,271,108400,10.84
518,106,42400,4.24
519,81,32400,3.24
520,74,29600,2.96
521,293,117200,11.72
522,364,145600,14.56
523,267,106800,10.68
524,58,23200,2.32
525,97,38800,3.88
526,160,64000,6.4
527,56,22400,2.24
528,159,63600,6.36
529,75,30000,3.0
530,778,311200,31.12
531,52,20800,2.08
532,148,59200,5.92
533,4162,1664800,166.48
534,84,33600,3.36
535,179,71600,7.16
536,405,162000,16.2
537,281,112400,11.24
538,75,30000,3.0
539,85,34000,3.4
540,74,29600,2.96
541,1447,578800,57.88
542,214,85600,8.56
543,3904,1561600,156.16
544,51,20400,2.04
545,343,137200,13.72
546,289,115600,11.56
547,8072,3228800,322.88
548,214,85600,8.56
549,84,33600,3.36
550,119,47600,4.76
551,121,48400,4.84
552,117,46800,4.68
553,135,54000,5.4
554,167,66800,6.68
555,64,25600,2.56
556,80,32000,3.2
557,282,112800,11.28
558,78,31200,3.12
559,95,38000,3.8
560,72,28800,2.88
561,50,20000,2.0
562,65,26000,2.6
563,64,25600,2.56
564,460,184000,18.4
565,62,24800,2.48
566,154,61600,6.16
567,58,23200,2.32
568,51,20400,2.04
569,93,37200,3.72
570,75,30000,3.0
571,55,22000,2.2
572,58,23200,2.32
