zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,457,182800,18.28,33.031,33.031,33.031,33.031,3.759,12.441,7.647,7.416,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
2,413,165200,16.52,32.915,32.915,32.915,32.915,2.913,10.772,5.653,5.144,28.963,28.963,28.963,28.963,16.74,16.74,16.74,16.74
3,4317,1726800,172.68,32.915,32.915,32.915,32.915,2.66,10.294,4.267,4.182,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
4,116,46400,4.64,32.889,32.889,32.889,32.889,2.778,6.201,3.969,3.888,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
5,7233,2893200,289.32,32.889,32.889,32.889,32.889,2.768,8.645,4.39,4.277,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
6,528,211200,21.12,32.889,32.889,32.889,32.889,3.76,13.395,5.527,5.486,28.926,28.926,28.926,28.926,19.211,25.507,19.223,19.211
7,278,111200,11.12,32.889,32.889,32.889,32.889,3.255,6.936,4.603,4.506,28.926,28.926,28.926,28.926,19.211,19.211,19.211,19.211
8,1416,566400,56.64,32.889,32.889,32.889,32.889,3.747,10.611,5.63,5.533,28.926,28.926,28.926,28.926,16.88,19.211,17.882,16.88
9,115,46000,4.6,32.889,32.889,32.889,32.889,4.463,6.539,5.224,5.183,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
10,149575,59830000,5983.0,32.866,32.889,32.868,32.868,2.624,19.364,5.346,5.089,28.926,29.073,29.016,29.014,10.787,24.898,18.663,20.609
11,1144,457600,45.76,32.868,32.868,32.868,32.868,4.318,11.913,7.006,6.704,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
12,890,356000,35.6,32.868,32.868,32.868,32.868,3.253,7.256,5.367,5.305,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
13,738,295200,29.52,32.868,32.868,32.868,32.868,4.158,9.151,5.359,5.292,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
14,6936,2774400,277.44,32.874,32.874,32.874,32.874,2.235,10.176,5.432,5.398,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
15,1179,471600,47.16,32.874,32.874,32.874,32.874,4.225,7.558,5.659,5.536,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
16,659,263600,26.36,32.874,32.874,32.874,32.874,4.424,8.476,6.717,6.735,28.936,28.936,28.936,28.936,24.663,24.663,24.663,24.663
17,1566,626400,62.64,32.894,32.894,32.894,32.894,3.102,7.336,5.026,4.929,28.846,28.846,28.846,28.846,18.898,18.898,18.898,18.898
