frequency,depth_interval,salinity_interval,count_pixels
1,no data avail,4.5 - 5.0,178
1,no data avail,5.0 - 5.5,206
1,no data avail,5.5 - 6.0,148
1,no data avail,6.0 - 6.5,81
1,no data avail,6.5 - 7.0,52
1,no data avail,7.0 - 7.5,27
1,no data avail,7.5 - 8.0,26
1,no data avail,8.0 - 8.5,22
1,no data avail,8.5 - 9.0,34
1,no data avail,9.0 - 9.5,15
1,no data avail,9.5 - 10.0,33
1,no data avail,no data avail,1006
2,32.5 - 33.0,10.0 - 10.5,132
2,32.5 - 33.0,10.5 - 11.0,140
2,32.5 - 33.0,11.0 - 11.5,143
2,32.5 - 33.0,11.5 - 12.0,148
2,32.5 - 33.0,12.0 - 12.5,143
2,32.5 - 33.0,12.5 - 13.0,108
2,32.5 - 33.0,13.0 - 13.5,73
2,32.5 - 33.0,13.5 - 14.0,42
2,32.5 - 33.0,14.0 - 14.5,26
2,32.5 - 33.0,14.5 - 15.0,49
2,32.5 - 33.0,15.0 - 15.5,43
2,32.5 - 33.0,15.5 - 16.0,40
2,32.5 - 33.0,16.0 - 16.5,23
2,32.5 - 33.0,16.5 - 17.0,11
2,32.5 - 33.0,17.0 - 17.5,12
2,32.5 - 33.0,17.5 - 18.0,4
2,32.5 - 33.0,18.0 - 18.5,4
2,32.5 - 33.0,18.5 - 19.0,1
2,32.5 - 33.0,25.0 - 25.5,1
2,32.5 - 33.0,27.0 - 27.5,1
2,32.5 - 33.0,3.0 - 3.5,1
2,32.5 - 33.0,4.0 - 4.5,1
2,32.5 - 33.0,4.5 - 5.0,2
2,32.5 - 33.0,5.0 - 5.5,1
2,32.5 - 33.0,5.5 - 6.0,11
2,32.5 - 33.0,6.0 - 6.5,11
2,32.5 - 33.0,6.5 - 7.0,8
2,32.5 - 33.0,7.0 - 7.5,26
2,32.5 - 33.0,7.5 - 8.0,76
2,32.5 - 33.0,8.0 - 8.5,131
2,32.5 - 33.0,8.5 - 9.0,214
2,32.5 - 33.0,9.0 - 9.5,152
2,32.5 - 33.0,9.5 - 10.0,155
2,32.5 - 33.0,no data avail,1
2,33.0 - 33.5,10.0 - 10.5,13
2,33.0 - 33.5,10.5 - 11.0,20
2,33.0 - 33.5,11.0 - 11.5,29
2,33.0 - 33.5,11.5 - 12.0,20
2,33.0 - 33.5,12.0 - 12.5,52
2,33.0 - 33.5,12.5 - 13.0,29
2,33.0 - 33.5,13.0 - 13.5,40
2,33.0 - 33.5,13.5 - 14.0,67
2,33.0 - 33.5,14.0 - 14.5,64
2,33.0 - 33.5,14.5 - 15.0,113
2,33.0 - 33.5,15.0 - 15.5,161
2,33.0 - 33.5,15.5 - 16.0,204
2,33.0 - 33.5,16.0 - 16.5,243
2,33.0 - 33.5,16.5 - 17.0,266
2,33.0 - 33.5,17.0 - 17.5,336
2,33.0 - 33.5,17.5 - 18.0,418
2,33.0 - 33.5,18.0 - 18.5,375
2,33.0 - 33.5,18.5 - 19.0,246
2,33.0 - 33.5,19.0 - 19.5,157
2,33.0 - 33.5,19.5 - 20.0,154
2,33.0 - 33.5,20.0 - 20.5,119
2,33.0 - 33.5,20.5 - 21.0,86
2,33.0 - 33.5,21.0 - 21.5,74
2,33.0 - 33.5,21.5 - 22.0,42
2,33.0 - 33.5,22.0 - 22.5,21
2,33.0 - 33.5,22.5 - 23.0,9
2,33.0 - 33.5,23.0 - 23.5,5
2,33.0 - 33.5,23.5 - 24.0,3
2,33.0 - 33.5,24.5 - 25.0,2
2,33.0 - 33.5,7.5 - 8.0,1
2,33.0 - 33.5,8.0 - 8.5,3
2,33.0 - 33.5,8.5 - 9.0,2
2,33.0 - 33.5,9.0 - 9.5,1
2,33.0 - 33.5,9.5 - 10.0,11
2,33.0 - 33.5,no data avail,25
