zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,5037,2014800,201.48,33.114,33.127,33.114,33.114,4.118,8.127,6.609,6.635,28.861,28.978,28.978,28.978,18.567,18.567,18.567,18.567
2,280727,112290800,11229.08,33.099,33.123,33.113,33.113,5.312,9.049,7.673,7.711,28.978,29.096,29.072,29.096,2.972,10.766,5.926,6.367
3,3578,1431200,143.12,33.123,33.125,33.125,33.125,3.708,8.488,6.923,7.121,28.762,28.956,28.956,28.956,18.34,18.34,18.34,18.34
4,407106,162842400,16284.24,33.055,33.104,33.089,33.099,2.611,9.341,6.828,6.885,28.755,29.077,28.934,28.951,5.719,24.106,15.07,15.064
5,150568,60227200,6022.72,33.007,33.055,33.04,33.055,3.438,9.347,7.528,7.488,28.626,28.916,28.887,28.874,5.764,17.097,13.504,16.234
6,273412,109364800,10936.48,32.989,33.009,33.001,33.007,2.59,9.372,6.842,6.907,28.694,28.974,28.802,28.786,8.562,20.713,14.342,14.461
7,2505197,1002078800,100207.88,32.86,32.989,32.896,32.889,1.538,9.273,6.54,6.695,28.593,29.149,28.993,29.014,2.743,25.707,10.542,10.513
