zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,5037,2014800,201.48,33.114,33.127,33.114,33.114,4.118,8.127,6.609,6.635,28.861,28.978,28.978,28.978,18.567,18.567,18.567,18.567
2,235230,94092000,9409.2,33.099,33.123,33.113,33.113,5.312,9.049,7.564,7.599,28.978,29.096,29.07,29.096,2.972,10.766,6.152,6.367
3,116,46400,4.64,33.099,33.099,33.099,33.099,7.253,8.649,7.957,7.941,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
4,1577,630800,63.08,33.099,33.099,33.099,33.099,7.003,8.495,7.776,7.791,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
5,50,20000,2.0,33.099,33.099,33.099,33.099,7.714,8.301,7.982,7.979,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
6,197,78800,7.88,33.114,33.114,33.114,33.114,7.04,8.51,7.913,7.925,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
7,60,24000,2.4,33.099,33.099,33.099,33.099,7.459,8.237,7.944,7.957,29.066,29.066,29.066,29.066,4.295,4.295,4.295,4.295
8,102,40800,4.08,33.099,33.114,33.101,33.099,7.177,8.376,7.888,7.916,28.978,29.066,29.053,29.066,4.295,6.419,4.607,4.295
9,111,44400,4.44,33.114,33.114,33.114,33.114,7.533,8.485,7.97,7.967,28.978,28.978,28.978,28.978,6.419,6.419,6.419,6.419
10,123,49200,4.92,33.113,33.113,33.113,33.113,7.464,8.348,7.871,7.883,29.096,29.096,29.096,29.096,4.12,4.12,4.12,4.12
11,129,51600,5.16,33.113,33.113,33.113,33.113,7.113,8.664,7.924,7.952,29.096,29.096,29.096,29.096,2.972,4.261,3.608,2.972
12,125,50000,5.0,33.113,33.113,33.113,33.113,6.965,8.717,8.008,7.984,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
13,57,22800,2.28,33.113,33.113,33.113,33.113,7.257,8.508,7.951,7.942,29.096,29.096,29.096,29.096,4.261,4.261,4.261,4.261
14,3566,1426400,142.64,33.123,33.125,33.125,33.125,3.708,8.488,6.919,7.116,28.762,28.956,28.956,28.956,18.34,18.34,18.34,18.34
15,56,22400,2.24,33.113,33.113,33.113,33.113,6.39,8.632,7.613,7.641,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
16,103,41200,4.12,33.113,33.113,33.113,33.113,7.159,8.406,7.771,7.795,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
17,2898,1159200,115.92,33.113,33.113,33.113,33.113,6.343,8.733,7.869,7.886,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
18,102,40800,4.08,33.113,33.113,33.113,33.113,7.131,8.603,7.91,7.918,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
19,50,20000,2.0,33.113,33.113,33.113,33.113,7.345,8.514,7.897,7.882,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
20,57,22800,2.28,33.113,33.113,33.113,33.113,7.758,8.553,8.053,8.015,29.096,29.096,29.096,29.096,4.284,4.284,4.284,4.284
21,392782,157112800,15711.28,33.055,33.104,33.089,33.099,2.611,9.341,6.778,6.849,28.755,29.077,28.929,28.951,5.719,19.892,15.248,15.064
22,145,58000,5.8,33.104,33.104,33.104,33.104,6.714,8.685,7.838,7.852,29.077,29.077,29.077,29.077,9.106,14.336,10.729,9.106
23,137,54800,5.48,33.104,33.104,33.104,33.104,6.219,8.336,7.92,7.967,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
24,548,219200,21.92,33.104,33.104,33.104,33.104,5.332,8.945,7.424,7.717,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
25,77,30800,3.08,33.104,33.104,33.104,33.104,7.429,8.844,7.932,7.934,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
26,81,32400,3.24,33.104,33.104,33.104,33.104,5.771,8.409,7.486,7.588,29.077,29.077,29.077,29.077,6.463,9.106,7.214,6.463
27,74,29600,2.96,33.104,33.104,33.104,33.104,7.028,8.243,7.633,7.63,29.077,29.077,29.077,29.077,9.106,9.106,9.106,9.106
28,51,20400,2.04,33.099,33.099,33.099,33.099,7.159,8.277,7.774,7.747,28.951,28.951,28.951,28.951,7.804,7.804,7.804,7.804
29,138931,55572400,5557.24,33.007,33.055,33.042,33.055,3.438,9.33,7.44,7.422,28.626,28.916,28.886,28.874,5.764,17.097,13.828,16.234
30,70,28000,2.8,33.007,33.007,33.007,33.007,6.355,8.878,7.732,7.734,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
31,78,31200,3.12,33.007,33.007,33.007,33.007,6.53,8.535,7.579,7.621,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
32,51,20400,2.04,33.007,33.007,33.007,33.007,6.769,8.749,7.536,7.591,28.916,28.916,28.916,28.916,5.764,5.764,5.764,5.764
33,69,27600,2.76,33.007,33.007,33.007,33.007,7.093,8.462,7.856,7.894,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
34,174,69600,6.96,33.007,33.007,33.007,33.007,6.675,9.015,7.861,7.778,28.916,28.916,28.916,28.916,9.87,9.87,9.87,9.87
35,263083,105233200,10523.32,32.989,33.009,33.001,33.007,2.59,9.36,6.775,6.861,28.694,28.974,28.797,28.786,8.562,19.045,14.465,14.461
36,189,75600,7.56,33.007,33.007,33.007,33.007,7.036,8.953,7.933,7.894,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
37,67,26800,2.68,33.007,33.007,33.007,33.007,6.713,9.145,7.531,7.514,28.916,28.916,28.916,28.916,11.921,11.921,11.921,11.921
38,315,126000,12.6,32.989,32.989,32.989,32.989,3.211,6.461,4.353,4.331,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
39,297,118800,11.88,32.989,32.989,32.989,32.989,3.691,5.485,4.478,4.451,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
40,179,71600,7.16,32.989,32.989,32.989,32.989,2.81,6.46,4.41,4.282,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
41,58,23200,2.32,32.989,32.989,32.989,32.989,3.429,5.417,4.212,4.125,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
42,82,32800,3.28,32.989,32.989,32.989,32.989,3.103,5.291,4.192,4.237,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
43,2368461,947384400,94738.44,32.86,32.989,32.895,32.889,1.538,9.267,6.501,6.644,28.701,29.149,28.99,29.014,2.743,19.882,10.697,10.787
44,105,42000,4.2,32.96,32.96,32.96,32.96,6.9,8.705,7.601,7.535,28.947,28.947,28.947,28.947,7.836,7.836,7.836,7.836
45,660,264000,26.4,32.981,32.981,32.981,32.981,5.284,8.495,7.878,7.915,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
46,8943,3577200,357.72,32.981,32.981,32.981,32.981,3.215,9.0,7.525,7.694,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
47,51,20400,2.04,32.981,32.981,32.981,32.981,7.288,8.778,7.875,7.911,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
48,1173,469200,46.92,32.981,32.981,32.981,32.981,5.332,8.87,7.813,7.868,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
49,1017,406800,40.68,32.915,32.915,32.915,32.915,3.056,7.01,4.171,4.139,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
50,81,32400,3.24,32.915,32.915,32.915,32.915,3.706,4.689,4.09,4.074,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
51,51,20400,2.04,32.915,32.915,32.915,32.915,3.633,4.292,4.018,4.036,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
52,58,23200,2.32,32.89,32.89,32.89,32.89,7.717,8.347,7.974,7.954,29.093,29.093,29.093,29.093,5.844,5.844,5.844,5.844
53,172,68800,6.88,32.89,32.89,32.89,32.89,6.862,8.911,7.806,7.889,29.093,29.093,29.093,29.093,5.844,5.844,5.844,5.844
54,50,20000,2.0,32.89,32.89,32.89,32.89,7.024,8.6,7.905,7.937,29.093,29.093,29.093,29.093,5.844,5.844,5.844,5.844
55,360,144000,14.4,32.89,32.89,32.89,32.89,6.014,8.684,7.851,7.874,29.093,29.093,29.093,29.093,4.687,5.844,5.06,4.687
56,51,20400,2.04,32.89,32.89,32.89,32.89,6.91,8.342,7.743,7.845,29.093,29.093,29.093,29.093,5.844,5.844,5.844,5.844
57,590,236000,23.6,32.89,32.89,32.89,32.89,6.886,8.644,7.791,7.835,29.093,29.093,29.093,29.093,5.844,5.844,5.844,5.844
58,8485,3394000,339.4,32.89,32.89,32.89,32.89,4.123,9.059,7.595,7.742,29.093,29.093,29.093,29.093,5.212,5.844,5.817,5.844
59,1060,424000,42.4,32.89,32.89,32.89,32.89,4.16,8.802,7.159,7.319,29.093,29.093,29.093,29.093,4.687,4.687,4.687,4.687
60,459,183600,18.36,32.89,32.89,32.89,32.89,7.017,8.512,7.875,7.879,29.093,29.093,29.093,29.093,4.687,4.687,4.687,4.687
61,88,35200,3.52,32.89,32.89,32.89,32.89,4.353,8.63,7.402,7.678,29.093,29.093,29.093,29.093,4.687,4.687,4.687,4.687
