zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,5037,2014800,201.48,33.114,33.127,33.114,33.114,4.118,8.127,6.609,6.635,28.861,28.978,28.978,28.978,18.567,18.567,18.567,18.567
2,277300,110920000,11092.0,33.099,33.123,33.113,33.113,5.312,9.049,7.665,7.704,28.978,29.096,29.071,29.096,2.972,10.766,5.944,6.367
3,3578,1431200,143.12,33.123,33.125,33.125,33.125,3.708,8.488,6.923,7.121,28.762,28.956,28.956,28.956,18.34,18.34,18.34,18.34
4,403141,161256400,16125.64,33.055,33.104,33.089,33.099,2.611,9.341,6.816,6.877,28.755,29.077,28.932,28.951,5.719,19.892,15.11,15.064
5,149985,59994000,5999.4,33.007,33.055,33.04,33.055,3.438,9.347,7.524,7.485,28.626,28.916,28.887,28.874,5.764,17.097,13.517,16.234
6,271024,108409600,10840.96,32.989,33.009,33.001,33.007,2.59,9.36,6.825,6.896,28.694,28.974,28.801,28.786,8.562,19.045,14.361,14.461
7,1605,642000,64.2,32.979,32.989,32.989,32.989,2.196,6.461,4.057,4.143,28.593,28.786,28.785,28.786,19.882,19.882,19.882,19.882
8,2495859,998343600,99834.36,32.86,32.989,32.895,32.889,1.538,9.273,6.545,6.698,28.701,29.149,28.993,29.014,2.743,19.882,10.528,10.513
