merged_group_id,final_zone_id,merge_gap_pixels,merge_gap_m,min_area_ha_threshold,passes_min_area,n_original_polygons,original_polygon_ids,original_pixel_count,merged_pixel_count,added_gap_pixel_count,original_area_ha,merged_area_ha,added_gap_area_ha
1,1,3,60,2,True,2,"1,2",190,263,73,7.6,10.52,2.92
2,2,3,60,2,True,1,3,54,54,0,2.16,2.16,0.0
3,3,3,60,2,True,2,"4,5",193,229,36,7.72,9.16,1.44
4,4,3,60,2,True,2,"6,7",147,209,62,5.88,8.36,2.48
5,5,3,60,2,True,1,8,127,153,26,5.08,6.12,1.04
6,6,3,60,2,True,1,9,102,175,73,4.08,7.0,2.92
7,7,3,60,2,True,1,10,68,89,21,2.72,3.56,0.84
8,8,3,60,2,True,1,11,88,121,33,3.52,4.84,1.32
9,9,3,60,2,True,3,"12,13,14",523,727,204,20.92,29.08,8.16
10,10,3,60,2,True,1,15,63,79,16,2.52,3.16,0.64
11,11,3,60,2,True,4,"16,17,18,19",561,947,386,22.44,37.88,15.44
12,12,3,60,2,True,1,20,50,57,7,2.0,2.28,0.28
13,13,3,60,2,True,1,21,56,69,13,2.24,2.76,0.52
14,14,3,60,2,True,1,22,50,54,4,2.0,2.16,0.16
15,15,3,60,2,True,2,"23,24",251,389,138,10.04,15.56,5.52
16,16,3,60,2,True,19,"25,26,27,28,29,30,31,38,39,46,49,52,57,58,60,62,63,64,65",34857,44352,9495,1394.28,1774.08,379.8
17,17,3,60,2,True,5,"32,33,34,35,44",1013,1924,911,40.52,76.96,36.44
18,18,3,60,2,True,2,"36,42",890,1205,315,35.6,48.2,12.6
19,19,3,60,2,True,1,37,88,99,11,3.52,3.96,0.44
20,20,3,60,2,True,1,40,132,190,58,5.28,7.6,2.32
21,21,3,60,2,True,1,41,72,110,38,2.88,4.4,1.52
22,22,3,60,2,True,2,"43,50",730,918,188,29.2,36.72,7.52
23,23,3,60,2,True,1,45,51,67,16,2.04,2.68,0.64
24,24,3,60,2,True,1,47,75,95,20,3.0,3.8,0.8
25,25,3,60,2,True,1,48,94,125,31,3.76,5.0,1.24
26,26,3,60,2,True,2,"51,53",273,339,66,10.92,13.56,2.64
27,27,3,60,2,True,1,54,53,70,17,2.12,2.8,0.68
28,28,3,60,2,True,1,55,112,141,29,4.48,5.64,1.16
29,29,3,60,2,True,1,56,143,190,47,5.72,7.6,1.88
30,30,3,60,2,True,1,59,130,145,15,5.2,5.8,0.6
31,31,3,60,2,True,1,61,90,116,26,3.6,4.64,1.04
32,32,3,60,2,True,1,66,76,86,10,3.04,3.44,0.4
33,33,3,60,2,True,1,67,81,81,0,3.24,3.24,0.0
34,34,3,60,2,True,1,68,210,301,91,8.4,12.04,3.64
35,35,3,60,2,True,1,69,100,127,27,4.0,5.08,1.08
36,36,3,60,2,True,1,70,144,158,14,5.76,6.32,0.56
37,37,3,60,2,True,1,71,50,62,12,2.0,2.48,0.48
38,38,3,60,2,True,1,72,87,103,16,3.48,4.12,0.64
39,39,3,60,2,True,2,"73,76",254,362,108,10.16,14.48,4.32
40,40,3,60,2,True,1,74,52,65,13,2.08,2.6,0.52
41,41,3,60,2,True,1,75,58,66,8,2.32,2.64,0.32
42,42,3,60,2,True,1,77,70,82,12,2.8,3.28,0.48
43,43,3,60,2,True,1,78,74,90,16,2.96,3.6,0.64
44,44,3,60,2,True,1,79,66,80,14,2.64,3.2,0.56
45,45,3,60,2,True,1,80,117,135,18,4.68,5.4,0.72
46,46,3,60,2,True,1,81,165,216,51,6.6,8.64,2.04
47,47,3,60,2,True,1,82,63,85,22,2.52,3.4,0.88
48,48,3,60,2,True,2,"83,85",191,276,85,7.64,11.04,3.4
49,49,3,60,2,True,1,84,119,207,88,4.76,8.28,3.52
50,50,3,60,2,True,1,86,131,145,14,5.24,5.8,0.56
51,51,3,60,2,True,2,"87,89",813,1171,358,32.52,46.84,14.32
52,52,3,60,2,True,1,88,103,146,43,4.12,5.84,1.72
53,53,3,60,2,True,1,90,70,88,18,2.8,3.52,0.72
54,54,3,60,2,True,2,"91,94",1609,2160,551,64.36,86.4,22.04
