scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
noCheck4factor;1;50;20000;2.0;factor_suitability_2025_Depth_10m_2025_highest.tif;33.114;33.114;33.114;33.114;6.573;7.811;7.08;6.965;28.978;28.978;28.978;28.978;6.419;6.419;6.419;6.419
noCheck4factor;2;71;28400;2.84;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;7.354;8.237;7.822;7.82;29.066;29.066;29.066;29.066;4.295;4.295;4.295;4.295
noCheck4factor;3;70;28000;2.8;factor_suitability_2025_Depth_10m_2025_highest.tif;33.114;33.114;33.114;33.114;6.412;8.145;7.218;7.253;28.978;28.978;28.978;28.978;6.419;6.419;6.419;6.419
noCheck4factor;4;69;27600;2.76;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.114;33.102;33.099;6.843;8.18;7.661;7.663;28.978;29.066;29.051;29.066;4.295;6.419;4.634;4.295
noCheck4factor;5;104;41600;4.16;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;7.283;8.191;7.774;7.783;29.066;29.066;29.066;29.066;4.295;4.295;4.295;4.295
noCheck4factor;6;80;32000;3.2;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;7.174;8.145;7.731;7.763;29.066;29.066;29.066;29.066;4.295;4.295;4.295;4.295
noCheck4factor;7;108;43200;4.32;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.974;7.941;7.54;7.551;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;8;771;308400;30.84;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.713;8.361;7.626;7.637;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;9;56;22400;2.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.369;8.336;7.756;7.734;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;10;277;110800;11.08;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.311;8.394;7.596;7.649;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;11;53;21200;2.12;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.168;8.219;7.666;7.68;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;12;138;55200;5.52;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.032;8.339;7.837;7.869;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;13;602;240800;24.08;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;5.541;8.688;7.441;7.522;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;14;1096;438400;43.84;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.865;8.598;7.692;7.659;29.096;29.096;29.096;29.096;4.261;6.522;6.452;6.522
noCheck4factor;15;1343;537200;53.72;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;5.239;8.416;7.34;7.51;29.096;29.096;29.096;29.096;4.261;6.522;6.448;6.522
noCheck4factor;16;118;47200;4.72;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;6.592;8.339;7.64;7.73;29.096;29.096;29.096;29.096;6.522;6.522;6.522;6.522
noCheck4factor;17;68;27200;2.72;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.486;8.309;7.73;7.712;29.096;29.096;29.096;29.096;4.261;4.261;4.261;4.261
noCheck4factor;18;50;20000;2.0;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.256;8.369;7.872;7.879;29.096;29.096;29.096;29.096;6.367;6.367;6.367;6.367
noCheck4factor;19;206;82400;8.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.126;8.174;7.799;7.827;29.096;29.096;29.096;29.096;4.261;4.261;4.261;4.261
noCheck4factor;20;70;28000;2.8;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.308;8.407;7.816;7.869;29.096;29.096;29.096;29.096;4.261;4.261;4.261;4.261
noCheck4factor;21;63;25200;2.52;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.027;8.251;7.794;7.783;29.096;29.096;29.096;29.096;6.367;6.367;6.367;6.367
noCheck4factor;22;64;25600;2.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.123;33.115;33.113;6.82;8.134;7.659;7.789;29.046;29.096;29.089;29.096;6.367;9.83;6.854;6.367
noCheck4factor;23;63;25200;2.52;factor_suitability_2025_Depth_10m_2025_highest.tif;33.123;33.123;33.123;33.123;6.332;8.092;7.505;7.546;29.046;29.046;29.046;29.046;9.83;9.83;9.83;9.83
noCheck4factor;24;59;23600;2.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.123;33.123;33.123;33.123;7.451;8.09;7.836;7.878;29.046;29.046;29.046;29.046;9.83;9.83;9.83;9.83
noCheck4factor;25;104;41600;4.16;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.0;8.399;7.751;7.767;29.096;29.096;29.096;29.096;4.284;4.284;4.284;4.284
noCheck4factor;26;64;25600;2.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.428;8.353;7.847;7.829;29.096;29.096;29.096;29.096;4.284;4.284;4.284;4.284
noCheck4factor;27;86;34400;3.44;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.376;8.31;7.825;7.812;29.096;29.096;29.096;29.096;4.284;4.284;4.284;4.284
noCheck4factor;28;58;23200;2.32;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.361;8.467;7.946;7.975;29.096;29.096;29.096;29.096;4.284;4.284;4.284;4.284
noCheck4factor;29;154;61600;6.16;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.169;8.395;7.796;7.821;29.096;29.096;29.096;29.096;4.284;4.284;4.284;4.284
noCheck4factor;30;56;22400;2.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.113;33.113;33.113;33.113;7.348;8.165;7.749;7.748;29.096;29.096;29.096;29.096;4.284;4.284;4.284;4.284
noCheck4factor;31;51;20400;2.04;factor_suitability_2025_Depth_10m_2025_highest.tif;33.104;33.104;33.104;33.104;5.716;7.362;6.944;6.985;29.077;29.077;29.077;29.077;9.106;9.106;9.106;9.106
noCheck4factor;32;64;25600;2.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;6.399;7.956;7.093;7.104;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;33;259;103600;10.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;5.154;7.903;6.749;6.874;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;34;58;23200;2.32;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.79;7.352;6.144;6.143;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;35;51;20400;2.04;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.576;7.111;5.79;5.842;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;36;208;83200;8.32;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.892;8.263;6.341;6.308;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
noCheck4factor;37;52;20800;2.08;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.503;6.167;5.231;5.148;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;38;84;33600;3.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.832;7.046;5.895;5.823;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;39;101;40400;4.04;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;3.857;6.44;4.812;4.66;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
