scenario,zone_id,pixel_count,area_m2,area_ha,input_file,salinity_mean,depth_mean,temperature_mean,sedimentation_mean
check4factor,54,71,28400,2.84,factor_suitability_2025_Depth_10m_2025_highest.tif,33.099,6.616,28.951,16.128
check4factor,55,52,20800,2.08,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,6.151,28.874,18.716
check4factor,56,1698,679200,67.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.107,28.874,17.097
check4factor,57,2974,1189600,118.96,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.114,28.874,12.698
check4factor,58,77,30800,3.08,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.42,28.874,10.106
check4factor,59,2505,1002000,100.2,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.451,28.874,10.106
check4factor,60,51,20400,2.04,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.39,28.874,10.106
check4factor,61,73,29200,2.92,factor_suitability_2025_Depth_10m_2025_highest.tif,33.055,7.701,28.874,10.106
check4factor,62,1285,514000,51.4,factor_suitability_2025_Depth_10m_2025_highest.tif,33.044,7.671,28.884,10.051
check4factor,63,595,238000,23.8,factor_suitability_2025_Depth_10m_2025_highest.tif,33.05,7.159,28.878,10.082
check4factor,64,7637,3054800,305.48,factor_suitability_2025_Depth_10m_2025_highest.tif,33.012,7.437,28.913,8.279
check4factor,65,54,21600,2.16,factor_suitability_2025_Depth_10m_2025_highest.tif,33.035,7.136,28.892,10.005
check4factor,66,80,32000,3.2,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.63,28.916,5.764
check4factor,67,185,74000,7.4,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.496,28.916,9.47
check4factor,68,178,71200,7.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.447,28.916,9.87
check4factor,69,64,25600,2.56,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.336,28.916,9.87
check4factor,70,303,121200,12.12,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.138,28.916,15.69
check4factor,71,701,280400,28.04,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.358,28.916,14.099
check4factor,72,3475,1390000,139.0,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.041,28.912,11.974
check4factor,73,3029,1211600,121.16,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,7.195,28.916,11.921
check4factor,74,125,50000,5.0,factor_suitability_2025_Depth_10m_2025_highest.tif,33.007,6.912,28.916,10.658
check4factor,75,120,48000,4.8,factor_suitability_2025_Depth_10m_2025_highest.tif,33.006,7.351,28.706,14.153
check4factor,76,63,25200,2.52,factor_suitability_2025_Depth_10m_2025_highest.tif,33.009,7.458,28.694,14.461
