scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;29;259;103600;10.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;5.154;7.903;6.749;6.874;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
check4factor;30;58;23200;2.32;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.79;7.352;6.144;6.143;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
check4factor;31;51;20400;2.04;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.576;7.111;5.79;5.842;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
check4factor;32;207;82800;8.28;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.892;7.856;6.332;6.301;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
check4factor;33;52;20800;2.08;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.503;6.167;5.231;5.148;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
check4factor;34;84;33600;3.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.832;7.046;5.895;5.823;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
check4factor;35;98;39200;3.92;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.014;6.44;4.84;4.668;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
check4factor;36;71;28400;2.84;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.36;7.781;5.51;5.33;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
check4factor;37;184;73600;7.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;5.415;7.903;6.869;6.952;28.874;28.874;28.874;28.874;15.064;15.064;15.064;15.064
check4factor;38;317;126800;12.68;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;5.845;7.992;6.86;6.813;28.947;28.947;28.947;28.947;7.836;7.836;7.836;7.836
check4factor;39;114;45600;4.56;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;7.237;7.991;7.729;7.731;28.947;28.947;28.947;28.947;9.79;9.79;9.79;9.79
check4factor;40;90;36000;3.6;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;5.713;7.925;6.762;6.607;28.947;28.947;28.947;28.947;7.836;7.836;7.836;7.836
check4factor;41;145;58000;5.8;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;6.057;7.999;7.102;7.049;28.947;28.947;28.947;28.947;7.836;7.836;7.836;7.836
