scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
noCheck4factor;28;8571;3428400;342.84;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;3.271;8.742;5.895;5.859;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
noCheck4factor;29;414;165600;16.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.08;33.08;33.08;33.08;4.32;8.304;6.177;6.153;28.755;28.755;28.755;28.755;19.892;19.892;19.892;19.892
noCheck4factor;30;714;285600;28.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;5.138;9.063;7.939;8.107;28.951;28.951;28.951;28.951;7.804;7.804;7.804;7.804
noCheck4factor;31;2149;859600;85.96;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;3.514;7.887;5.814;5.774;28.951;28.951;28.951;28.951;11.639;11.639;11.639;11.639
noCheck4factor;32;670;268000;26.8;factor_suitability_2025_Depth_10m_2025_highest.tif;33.08;33.099;33.087;33.08;4.252;8.762;6.672;6.578;28.755;28.951;28.825;28.755;16.128;19.892;18.538;19.892
noCheck4factor;33;197;78800;7.88;factor_suitability_2025_Depth_10m_2025_highest.tif;33.099;33.099;33.099;33.099;4.046;7.599;5.56;5.486;28.951;28.951;28.951;28.951;16.128;16.128;16.128;16.128
noCheck4factor;34;1468;587200;58.72;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;4.307;8.884;7.286;7.251;28.874;28.874;28.874;28.874;15.064;15.064;15.064;15.064
noCheck4factor;35;3856;1542400;154.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.065;33.055;33.055;3.921;8.822;7.001;6.977;28.874;29.037;28.878;28.874;10.687;15.064;14.968;15.064
noCheck4factor;36;958;383200;38.32;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;5.652;8.705;6.854;6.763;28.874;28.874;28.874;28.874;18.716;18.716;18.716;18.716
noCheck4factor;37;4064;1625600;162.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;4.958;8.893;7.065;6.982;28.874;28.874;28.874;28.874;15.064;18.716;15.986;15.064
noCheck4factor;38;338;135200;13.52;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;5.133;7.665;6.625;6.667;28.874;28.874;28.874;28.874;15.064;15.064;15.064;15.064
noCheck4factor;39;52;20800;2.08;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;4.835;7.111;6.151;6.206;28.874;28.874;28.874;28.874;18.716;18.716;18.716;18.716
noCheck4factor;40;931;372400;37.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;5.032;8.806;7.31;7.349;28.874;28.874;28.874;28.874;17.097;17.097;17.097;17.097
noCheck4factor;41;2893;1157200;115.72;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;5.441;9.449;7.794;7.873;28.874;28.874;28.874;28.874;10.106;16.234;11.557;10.106
noCheck4factor;42;748;299200;29.92;factor_suitability_2025_Depth_10m_2025_highest.tif;33.055;33.055;33.055;33.055;6.463;9.531;8.113;8.141;28.874;28.874;28.874;28.874;10.106;10.106;10.106;10.106
noCheck4factor;43;2849;1139600;113.96;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.055;33.009;33.007;6.256;9.525;7.902;7.776;28.874;28.916;28.915;28.916;5.764;9.87;6.24;5.764
noCheck4factor;44;342;136800;13.68;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.055;33.048;33.055;5.739;9.491;7.782;7.893;28.874;28.916;28.881;28.874;9.87;10.106;10.071;10.106
noCheck4factor;45;326;130400;13.04;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;6.564;9.537;8.401;8.419;28.916;28.916;28.916;28.916;9.87;9.87;9.87;9.87
noCheck4factor;46;452;180800;18.08;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;4.793;9.21;7.336;7.395;28.916;28.916;28.916;28.916;9.87;9.87;9.87;9.87
noCheck4factor;47;292;116800;11.68;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;6.544;9.432;8.003;7.883;28.916;28.916;28.916;28.916;9.87;9.87;9.87;9.87
noCheck4factor;48;78;31200;3.12;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;6.634;9.011;7.942;7.945;28.916;28.916;28.916;28.916;9.87;9.87;9.87;9.87
noCheck4factor;49;331;132400;13.24;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;6.097;8.618;7.227;7.132;28.916;28.916;28.916;28.916;15.69;15.69;15.69;15.69
noCheck4factor;50;414;165600;16.56;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;5.935;9.132;7.475;7.58;28.916;28.916;28.916;28.916;11.921;15.69;15.253;15.69
noCheck4factor;51;1046;418400;41.84;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;3.828;8.767;7.338;7.268;28.916;28.916;28.916;28.916;11.921;11.921;11.921;11.921
noCheck4factor;52;59;23600;2.36;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;6.88;8.192;7.501;7.451;28.916;28.916;28.916;28.916;11.921;11.921;11.921;11.921
noCheck4factor;53;685;274000;27.4;factor_suitability_2025_Depth_10m_2025_highest.tif;33.007;33.007;33.007;33.007;5.484;9.452;7.205;7.118;28.916;28.916;28.916;28.916;11.921;11.921;11.921;11.921
noCheck4factor;54;15806;6322400;632.24;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;4.062;9.196;7.679;7.843;28.947;28.947;28.947;28.947;7.836;11.896;8.788;7.836
noCheck4factor;55;59;23600;2.36;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;6.295;8.642;7.546;7.389;28.947;28.947;28.947;28.947;9.79;9.79;9.79;9.79
noCheck4factor;56;3765;1506000;150.6;factor_suitability_2025_Depth_10m_2025_highest.tif;32.949;32.96;32.95;32.949;4.78;8.659;7.341;7.45;28.837;28.947;28.853;28.837;8.218;15.662;13.88;15.662
noCheck4factor;57;145;58000;5.8;factor_suitability_2025_Depth_10m_2025_highest.tif;32.96;32.96;32.96;32.96;6.915;8.433;7.824;7.826;28.947;28.947;28.947;28.947;9.79;9.79;9.79;9.79
