zone_id,original_pixel_count,extension_pixel_count,original_area_ha,extension_area_ha,merged_area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
38,549,204,21.96,8.16,30.12,32.868,32.868,32.868,32.868,3.703,4.991,4.441,4.438,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
39,182,62,7.28,2.48,9.76,32.868,32.868,32.868,32.868,4.221,4.978,4.51,4.482,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
40,85,79,3.4,3.16,6.56,32.868,32.868,32.868,32.868,3.524,4.943,4.145,4.075,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
41,43,11,1.72,0.44,2.16,32.868,32.868,32.868,32.868,4.865,4.989,4.934,4.943,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
42,377,117,15.08,4.68,19.76,32.868,32.868,32.868,32.868,3.778,4.997,4.435,4.407,29.014,29.014,29.014,29.014,20.609,22.65,22.44,22.65
43,268,77,10.72,3.08,13.8,32.868,32.868,32.868,32.868,4.234,4.993,4.659,4.687,29.014,29.014,29.014,29.014,20.609,22.65,22.438,22.65
44,1610,540,64.4,21.6,86.0,32.868,32.868,32.868,32.868,3.032,4.997,4.183,4.216,29.014,29.014,29.014,29.014,20.609,22.65,20.745,20.609
45,46,43,1.84,1.72,3.56,32.868,32.868,32.868,32.868,3.027,4.578,3.856,3.95,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
46,45,37,1.8,1.48,3.28,32.868,32.868,32.868,32.868,4.362,4.995,4.745,4.762,29.014,29.014,29.014,29.014,20.609,22.65,22.484,22.65
47,33,8,1.32,0.32,1.64,32.868,32.868,32.868,32.868,4.272,4.997,4.669,4.641,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
48,320,111,12.8,4.44,17.24,32.868,32.868,32.868,32.868,3.655,4.856,4.364,4.364,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
49,69,42,2.76,1.68,4.44,32.868,32.868,32.868,32.868,3.604,4.954,4.011,3.943,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
50,236,102,9.44,4.08,13.52,32.868,32.868,32.868,32.868,4.02,4.989,4.578,4.624,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
51,67,45,2.68,1.8,4.48,32.868,32.868,32.868,32.868,3.012,4.879,4.076,4.116,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
52,265,77,10.6,3.08,13.68,32.868,32.868,32.868,32.868,3.781,4.995,4.6,4.663,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
53,57,37,2.28,1.48,3.76,32.868,32.868,32.868,32.868,4.452,4.99,4.707,4.722,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
54,30,1,1.2,0.04,1.24,32.868,32.868,32.868,32.868,4.883,4.883,4.883,4.883,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
55,35,16,1.4,0.64,2.04,32.868,32.868,32.868,32.868,3.806,4.973,4.351,4.426,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
56,47,41,1.88,1.64,3.52,32.868,32.868,32.868,32.868,3.29,4.378,3.802,3.709,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
57,69,2,2.76,0.08,2.84,32.868,32.868,32.868,32.868,4.924,4.936,4.93,4.93,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
58,292,81,11.68,3.24,14.92,32.868,32.868,32.868,32.868,4.486,4.996,4.768,4.76,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
59,392,104,15.68,4.16,19.84,32.868,32.868,32.868,32.868,3.73,4.994,4.604,4.66,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
60,64,53,2.56,2.12,4.68,32.868,32.868,32.868,32.868,3.453,4.979,4.302,4.278,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
61,30,1,1.2,0.04,1.24,32.868,32.868,32.868,32.868,4.642,4.642,4.642,4.642,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
62,26,3,1.04,0.12,1.16,32.868,32.868,32.868,32.868,4.967,4.987,4.974,4.969,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
63,994,235,39.76,9.4,49.16,32.868,32.868,32.868,32.868,3.379,4.999,4.209,4.146,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
64,362,84,14.48,3.36,17.84,32.868,32.868,32.868,32.868,4.216,4.955,4.576,4.568,29.014,29.014,29.014,29.014,11.768,20.609,14.609,11.768
65,683,153,27.32,6.12,33.44,32.868,32.868,32.868,32.868,3.163,4.983,4.144,4.181,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
66,35,11,1.4,0.44,1.84,32.868,32.868,32.868,32.868,4.271,4.971,4.639,4.629,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
67,54,2,2.16,0.08,2.24,32.868,32.868,32.868,32.868,4.771,4.998,4.885,4.885,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
68,29,9,1.16,0.36,1.52,32.868,32.868,32.868,32.868,4.332,4.978,4.752,4.781,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
69,901,91,36.04,3.64,39.68,32.868,32.868,32.868,32.868,3.868,4.999,4.586,4.646,29.014,29.014,29.014,29.014,11.768,20.609,13.322,11.768
70,155,104,6.2,4.16,10.36,32.868,32.868,32.868,32.868,3.387,4.94,4.211,4.129,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
71,36,40,1.44,1.6,3.04,32.868,32.868,32.868,32.868,3.437,4.927,3.992,3.95,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
72,49,14,1.96,0.56,2.52,32.868,32.868,32.868,32.868,4.097,4.944,4.651,4.714,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
73,222,79,8.88,3.16,12.04,32.868,32.868,32.868,32.868,3.526,4.996,4.27,4.27,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
74,169,64,6.76,2.56,9.32,32.868,32.868,32.868,32.868,3.795,4.974,4.389,4.423,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
75,56,68,2.24,2.72,4.96,32.868,32.868,32.868,32.868,3.373,4.951,3.969,3.839,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
76,59,31,2.36,1.24,3.6,32.868,32.868,32.868,32.868,3.688,4.997,4.564,4.752,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
77,50,8,2.0,0.32,2.32,32.868,32.868,32.868,32.868,4.35,4.954,4.638,4.652,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
78,33,28,1.32,1.12,2.44,32.868,32.868,32.868,32.868,3.838,4.916,4.306,4.276,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
79,39,34,1.56,1.36,2.92,32.868,32.868,32.868,32.868,3.813,4.951,4.46,4.456,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
80,42,56,1.68,2.24,3.92,32.868,32.868,32.868,32.868,3.42,4.94,4.2,4.193,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
81,43,4,1.72,0.16,1.88,32.868,32.868,32.868,32.868,4.608,4.956,4.806,4.831,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
82,58,68,2.32,2.72,5.04,32.868,32.868,32.868,32.868,3.463,4.971,4.258,4.224,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
83,33,42,1.32,1.68,3.0,32.868,32.868,32.868,32.868,3.744,4.988,4.368,4.348,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
