zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
41,3682,1472800,147.28,33.08,33.08,33.08,33.08,5.661,18.665,9.289,8.742,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
42,57,22800,2.28,33.08,33.08,33.08,33.08,6.664,12.995,9.047,8.463,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
43,87,34800,3.48,33.099,33.099,33.099,33.099,7.332,15.778,10.887,10.429,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
44,55,22000,2.2,33.099,33.099,33.099,33.099,7.456,12.275,8.877,8.189,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
45,59,23600,2.36,33.099,33.099,33.099,33.099,5.382,13.96,9.171,8.573,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
46,253,101200,10.12,33.099,33.099,33.099,33.099,6.535,13.637,9.757,9.78,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
47,60,24000,2.4,33.08,33.08,33.08,33.08,7.464,16.862,11.442,11.185,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
48,141,56400,5.64,33.099,33.099,33.099,33.099,7.438,16.664,10.688,11.021,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
49,1218,487200,48.72,33.08,33.099,33.099,33.099,6.534,13.4,9.569,9.221,28.755,28.951,28.948,28.951,16.128,19.892,16.171,16.128
50,52,20800,2.08,33.08,33.08,33.08,33.08,6.404,14.571,9.11,8.463,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
51,526,210400,21.04,33.099,33.099,33.099,33.099,7.016,15.042,9.855,9.373,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
52,63,25200,2.52,33.099,33.099,33.099,33.099,7.253,13.02,9.04,8.835,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
53,92,36800,3.68,33.08,33.08,33.08,33.08,7.529,15.378,9.952,9.612,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
