zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
41,122,48800,4.88,33.099,33.099,33.099,33.099,5.651,7.98,7.376,7.486,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
42,125,50000,5.0,33.099,33.099,33.099,33.099,5.594,7.988,7.255,7.539,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
43,132,52800,5.28,33.099,33.099,33.099,33.099,5.326,7.932,6.947,7.251,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
44,72,28800,2.88,33.099,33.099,33.099,33.099,5.625,7.994,6.933,7.087,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
45,74,29600,2.96,33.099,33.099,33.099,33.099,5.215,7.969,6.484,6.291,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
46,58,23200,2.32,33.099,33.099,33.099,33.099,6.578,7.96,7.436,7.495,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
47,91,36400,3.64,33.099,33.099,33.099,33.099,6.709,7.989,7.524,7.537,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
48,91,36400,3.64,33.099,33.099,33.099,33.099,6.313,8.0,7.611,7.68,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
49,385,154000,15.4,33.099,33.099,33.099,33.099,6.072,8.0,7.557,7.645,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
50,85,34000,3.4,33.099,33.099,33.099,33.099,5.282,7.996,6.985,7.135,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
51,62,24800,2.48,33.08,33.08,33.08,33.08,6.347,7.984,7.22,7.192,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
52,141,56400,5.64,33.099,33.099,33.099,33.099,6.056,7.993,7.387,7.571,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
53,92,36800,3.68,33.099,33.099,33.099,33.099,6.804,7.992,7.562,7.592,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
54,54,21600,2.16,33.099,33.099,33.099,33.099,6.762,7.986,7.539,7.66,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
55,168,67200,6.72,33.08,33.08,33.08,33.08,5.686,7.997,7.314,7.433,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
56,112,44800,4.48,33.08,33.08,33.08,33.08,6.812,8.0,7.569,7.63,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
57,138,55200,5.52,33.08,33.08,33.08,33.08,6.163,7.999,7.572,7.736,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
58,57,22800,2.28,33.08,33.08,33.08,33.08,5.48,7.935,6.745,6.658,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
59,50,20000,2.0,33.08,33.08,33.08,33.08,6.182,7.999,7.254,7.228,28.755,28.755,28.755,28.755,19.892,19.892,19.892,19.892
60,51,20400,2.04,33.055,33.08,33.077,33.08,5.522,7.998,7.148,7.605,28.755,28.874,28.771,28.755,15.064,19.892,19.23,19.892
61,76,30400,3.04,33.055,33.055,33.055,33.055,5.866,7.994,7.538,7.65,28.874,28.874,28.874,28.874,18.716,18.716,18.716,18.716
62,52,20800,2.08,33.055,33.055,33.055,33.055,5.886,7.996,7.088,7.044,28.874,28.874,28.874,28.874,15.064,15.064,15.064,15.064
63,92,36800,3.68,33.055,33.055,33.055,33.055,5.565,8.0,6.89,7.089,28.874,28.874,28.874,28.874,18.716,18.716,18.716,18.716
64,113,45200,4.52,33.055,33.055,33.055,33.055,7.125,7.999,7.653,7.709,28.874,28.874,28.874,28.874,18.716,18.716,18.716,18.716
65,60,24000,2.4,33.055,33.055,33.055,33.055,6.924,7.988,7.535,7.611,28.874,28.874,28.874,28.874,18.716,18.716,18.716,18.716
66,62,24800,2.48,33.055,33.055,33.055,33.055,7.172,8.0,7.739,7.828,28.874,28.874,28.874,28.874,18.716,18.716,18.716,18.716
67,391,156400,15.64,33.055,33.055,33.055,33.055,5.314,7.996,7.274,7.448,28.874,28.874,28.874,28.874,17.097,17.097,17.097,17.097
68,568,227200,22.72,33.055,33.055,33.055,33.055,5.11,7.999,6.741,6.797,28.874,28.874,28.874,28.874,17.097,17.097,17.097,17.097
69,68,27200,2.72,33.055,33.055,33.055,33.055,6.918,7.989,7.626,7.644,28.874,28.874,28.874,28.874,13.574,13.574,13.574,13.574
