zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
41,34,13600,1.36,33.099,33.099,33.099,33.099,6.318,9.547,7.635,7.68,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
42,3395,1358000,135.8,33.099,33.099,33.099,33.099,5.141,12.769,7.763,7.79,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
43,63,25200,2.52,33.099,33.099,33.099,33.099,6.515,9.472,7.704,7.743,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
44,39,15600,1.56,33.099,33.099,33.099,33.099,3.877,8.589,6.229,6.29,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
45,35,14000,1.4,33.099,33.099,33.099,33.099,7.18,8.672,7.809,7.859,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
46,28,11200,1.12,33.099,33.099,33.099,33.099,7.421,8.509,7.876,7.834,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
47,30,12000,1.2,33.099,33.099,33.099,33.099,7.153,9.257,7.963,7.951,28.951,28.951,28.951,28.951,13.535,13.535,13.535,13.535
48,28,11200,1.12,33.099,33.099,33.099,33.099,7.344,10.411,8.145,7.918,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
49,75,30000,3.0,33.099,33.099,33.099,33.099,5.377,10.013,7.7,7.793,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
50,31,12400,1.24,33.099,33.099,33.099,33.099,7.3,9.199,7.905,7.838,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
51,1717,686800,68.68,33.099,33.099,33.099,33.099,4.967,13.537,7.589,7.633,28.951,28.951,28.951,28.951,11.639,19.773,19.038,19.773
52,27,10800,1.08,33.099,33.099,33.099,33.099,6.128,8.727,7.289,7.353,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
53,63,25200,2.52,33.099,33.099,33.099,33.099,6.056,9.498,7.529,7.533,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
54,343,137200,13.72,33.099,33.099,33.099,33.099,6.072,11.914,7.911,7.847,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
55,77,30800,3.08,33.099,33.099,33.099,33.099,7.078,9.089,7.911,7.864,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
56,452,180800,18.08,33.099,33.099,33.099,33.099,5.329,11.073,7.344,7.355,28.951,28.951,28.951,28.951,11.639,19.773,15.778,19.773
