zone_id,pixel_count,area_m2,area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,245,98000,9.8,33.127,33.127,33.127,33.127,3.303,4.988,4.416,4.481,28.861,28.861,28.861,28.861,23.729,23.729,23.729,23.729
2,90,36000,3.6,33.127,33.127,33.127,33.127,3.823,4.999,4.535,4.591,28.861,28.861,28.861,28.861,23.729,23.729,23.729,23.729
3,107,42800,4.28,33.127,33.127,33.127,33.127,3.77,5.0,4.537,4.61,28.861,28.861,28.861,28.861,23.729,23.729,23.729,23.729
4,67,26800,2.68,33.135,33.135,33.135,33.135,3.005,4.947,4.242,4.432,28.754,28.754,28.754,28.754,23.678,23.678,23.678,23.678
5,386,154400,15.44,33.099,33.099,33.099,33.099,3.169,4.994,4.275,4.314,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
6,100,40000,4.0,33.099,33.099,33.099,33.099,3.276,4.963,4.211,4.254,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
7,149,59600,5.96,33.099,33.099,33.099,33.099,3.043,4.99,3.965,3.814,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
8,4137,1654800,165.48,33.099,33.099,33.099,33.099,3.008,4.999,4.225,4.283,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
9,174,69600,6.96,33.099,33.099,33.099,33.099,3.395,4.997,4.504,4.539,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
10,172,68800,6.88,33.099,33.099,33.099,33.099,3.035,4.992,4.235,4.289,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
11,860,344000,34.4,33.099,33.099,33.099,33.099,3.013,5.0,4.286,4.405,28.951,28.951,28.951,28.951,19.773,24.774,23.902,24.774
12,90,36000,3.6,33.099,33.099,33.099,33.099,3.031,4.985,4.075,4.105,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
13,283,113200,11.32,33.099,33.099,33.099,33.099,3.004,4.989,4.145,4.181,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
14,84,33600,3.36,33.099,33.099,33.099,33.099,3.211,4.981,4.256,4.396,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
15,58,23200,2.32,33.099,33.099,33.099,33.099,3.647,4.979,4.26,4.282,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
16,96,38400,3.84,33.099,33.099,33.099,33.099,3.625,4.998,4.57,4.657,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
17,85,34000,3.4,33.099,33.099,33.099,33.099,3.655,4.989,4.5,4.594,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
18,287,114800,11.48,33.099,33.099,33.099,33.099,3.715,4.997,4.505,4.555,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
19,57,22800,2.28,33.099,33.099,33.099,33.099,4.083,4.987,4.616,4.609,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
20,63,25200,2.52,33.099,33.099,33.099,33.099,3.719,4.998,4.565,4.651,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
21,88,35200,3.52,33.099,33.099,33.099,33.099,3.875,4.99,4.57,4.588,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
22,53,21200,2.12,33.099,33.099,33.099,33.099,4.075,4.984,4.604,4.647,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
23,65,26000,2.6,33.099,33.099,33.099,33.099,3.96,4.986,4.589,4.629,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
24,55,22000,2.2,33.099,33.099,33.099,33.099,3.651,4.998,4.535,4.616,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
25,53,21200,2.12,33.099,33.099,33.099,33.099,4.151,4.964,4.587,4.554,28.951,28.951,28.951,28.951,11.639,11.639,11.639,11.639
26,64,25600,2.56,33.031,33.031,33.031,33.031,3.844,4.995,4.77,4.81,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
27,345,138000,13.8,33.031,33.031,33.031,33.031,3.012,4.999,4.32,4.365,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
28,76,30400,3.04,33.055,33.055,33.055,33.055,4.189,4.985,4.618,4.605,28.874,28.874,28.874,28.874,18.716,18.716,18.716,18.716
29,77,30800,3.08,33.031,33.031,33.031,33.031,3.786,4.99,4.475,4.535,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
30,91,36400,3.64,33.031,33.055,33.053,33.055,3.749,4.995,4.521,4.513,28.626,28.874,28.85,28.874,21.237,24.681,21.578,21.237
31,98,39200,3.92,33.009,33.009,33.009,33.009,3.003,4.95,3.569,3.397,28.694,28.694,28.694,28.694,23.989,23.989,23.989,23.989
32,81,32400,3.24,32.949,32.949,32.949,32.949,3.713,4.995,4.543,4.561,28.837,28.837,28.837,28.837,22.224,22.224,22.224,22.224
33,599,239600,23.96,32.949,32.949,32.949,32.949,3.046,4.999,4.115,4.131,28.837,28.837,28.837,28.837,22.224,22.224,22.224,22.224
34,567,226800,22.68,32.915,32.915,32.915,32.915,3.037,4.998,4.195,4.26,28.963,28.963,28.963,28.963,16.74,16.74,16.74,16.74
35,4319,1727600,172.76,32.915,32.915,32.915,32.915,3.001,4.997,3.699,3.622,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
36,793,317200,31.72,32.915,32.915,32.915,32.915,3.002,4.998,4.286,4.404,28.963,28.963,28.963,28.963,12.008,12.008,12.008,12.008
37,79,31600,3.16,32.915,32.915,32.915,32.915,3.566,4.982,4.434,4.551,28.963,28.963,28.963,28.963,12.008,12.008,12.008,12.008
38,77,30800,3.08,32.915,32.915,32.915,32.915,4.063,4.969,4.64,4.697,28.963,28.963,28.963,28.963,12.008,12.008,12.008,12.008
39,58,23200,2.32,32.889,32.889,32.889,32.889,3.115,4.661,3.91,3.936,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
40,204,81600,8.16,32.889,32.889,32.889,32.889,3.195,4.977,3.945,3.857,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
41,6026,2410400,241.04,32.889,32.889,32.889,32.889,3.002,4.999,4.026,3.99,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
42,227,90800,9.08,32.889,32.889,32.889,32.889,3.709,4.974,4.479,4.524,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
43,1769,707600,70.76,32.889,32.889,32.889,32.889,3.102,4.999,4.169,4.185,28.926,28.926,28.926,28.926,16.88,19.211,18.811,19.211
44,70,28000,2.8,32.889,32.889,32.889,32.889,3.989,4.979,4.483,4.471,28.926,28.926,28.926,28.926,16.88,19.211,18.279,19.211
45,217,86800,8.68,32.889,32.889,32.889,32.889,3.88,4.997,4.466,4.437,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
46,154,61600,6.16,32.889,32.889,32.889,32.889,3.825,4.998,4.582,4.569,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
47,110,44000,4.4,32.889,32.889,32.889,32.889,4.11,4.982,4.659,4.653,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
48,122576,49030400,4903.04,32.866,32.889,32.868,32.868,3.0,5.0,4.219,4.26,28.926,29.073,29.014,29.014,10.787,24.898,17.949,17.128
49,326,130400,13.04,32.889,32.889,32.889,32.889,3.804,4.999,4.493,4.534,28.926,28.926,28.926,28.926,16.88,16.88,16.88,16.88
50,126,50400,5.04,32.868,32.868,32.868,32.868,3.343,4.947,4.042,4.032,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
51,68,27200,2.72,32.868,32.868,32.868,32.868,3.571,4.959,4.449,4.426,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
52,52,20800,2.08,32.868,32.868,32.868,32.868,3.457,4.984,4.535,4.756,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
53,82,32800,3.28,32.868,32.868,32.868,32.868,3.876,4.958,4.489,4.518,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
54,111,44400,4.44,32.868,32.868,32.868,32.868,3.468,4.987,4.529,4.576,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
55,51,20400,2.04,32.868,32.868,32.868,32.868,4.629,4.993,4.881,4.887,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
56,58,23200,2.32,32.868,32.868,32.868,32.868,4.558,4.995,4.886,4.902,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
57,78,31200,3.12,32.868,32.868,32.868,32.868,4.688,4.995,4.891,4.902,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
58,229,91600,9.16,32.868,32.868,32.868,32.868,3.331,4.997,4.582,4.721,29.014,29.014,29.014,29.014,11.768,12.257,12.075,12.257
59,1309,523600,52.36,32.868,32.868,32.868,32.868,3.463,4.998,4.513,4.556,29.014,29.014,29.014,29.014,20.609,22.65,20.735,20.609
60,83,33200,3.32,32.868,32.868,32.868,32.868,3.891,5.0,4.603,4.625,29.014,29.014,29.014,29.014,20.609,22.65,21.371,20.609
61,162,64800,6.48,32.868,32.868,32.868,32.868,3.91,4.999,4.766,4.837,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
62,52,20800,2.08,32.868,32.868,32.868,32.868,4.625,4.998,4.827,4.834,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
63,64,25600,2.56,32.868,32.868,32.868,32.868,3.741,4.998,4.632,4.77,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
64,225,90000,9.0,32.868,32.868,32.868,32.868,3.953,4.992,4.754,4.83,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
65,333,133200,13.32,32.868,32.868,32.868,32.868,4.27,5.0,4.802,4.846,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
66,62,24800,2.48,32.868,32.868,32.868,32.868,4.282,4.999,4.858,4.924,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
67,56,22400,2.24,32.868,32.868,32.868,32.868,4.548,4.994,4.854,4.87,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
68,109,43600,4.36,32.868,32.868,32.868,32.868,3.089,4.992,4.149,3.989,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
69,118,47200,4.72,32.868,32.868,32.868,32.868,3.986,4.996,4.55,4.544,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
70,102,40800,4.08,32.868,32.868,32.868,32.868,4.215,5.0,4.79,4.819,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
71,59,23600,2.36,32.868,32.868,32.868,32.868,4.197,4.989,4.77,4.792,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
72,57,22800,2.28,32.868,32.868,32.868,32.868,3.514,4.911,4.173,4.123,29.014,29.014,29.014,29.014,20.609,20.609,20.609,20.609
73,103,41200,4.12,32.868,32.868,32.868,32.868,3.671,4.995,4.49,4.46,29.014,29.014,29.014,29.014,11.768,20.609,13.227,11.768
74,339,135600,13.56,32.868,32.868,32.868,32.868,3.978,4.997,4.646,4.694,29.014,29.014,29.014,29.014,11.768,11.768,11.768,11.768
75,98,39200,3.92,32.868,32.868,32.868,32.868,3.371,4.989,4.614,4.798,29.014,29.014,29.014,29.014,10.787,17.128,16.093,17.128
76,3248,1299200,129.92,32.868,32.868,32.868,32.868,3.426,5.0,4.744,4.819,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
77,184,73600,7.36,32.868,32.868,32.868,32.868,4.489,4.998,4.825,4.846,29.014,29.014,29.014,29.014,10.787,17.128,15.922,17.128
78,670,268000,26.8,32.868,32.868,32.868,32.868,3.799,5.0,4.845,4.877,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
79,594,237600,23.76,32.868,32.868,32.868,32.868,4.079,4.999,4.829,4.874,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
80,51,20400,2.04,32.868,32.868,32.868,32.868,4.685,4.999,4.858,4.869,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
81,64,25600,2.56,32.868,32.868,32.868,32.868,4.731,4.999,4.868,4.852,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
82,50,20000,2.0,32.868,32.868,32.868,32.868,4.663,4.998,4.907,4.918,29.014,29.014,29.014,29.014,10.787,10.787,10.787,10.787
83,79,31600,3.16,32.868,32.868,32.868,32.868,4.655,4.995,4.878,4.887,29.014,29.014,29.014,29.014,17.128,17.128,17.128,17.128
84,111,44400,4.44,32.866,32.868,32.867,32.866,4.19,5.0,4.864,4.901,29.014,29.073,29.05,29.073,13.171,17.128,14.704,13.171
85,5717,2286800,228.68,32.874,32.874,32.874,32.874,3.003,5.0,4.143,4.185,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
86,153,61200,6.12,32.874,32.874,32.874,32.874,4.625,4.99,4.86,4.873,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
87,53,21200,2.12,32.866,32.866,32.866,32.866,4.65,4.989,4.876,4.903,29.073,29.073,29.073,29.073,13.171,13.171,13.171,13.171
88,251,100400,10.04,32.874,32.874,32.874,32.874,3.727,4.995,4.604,4.632,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
89,91,36400,3.64,32.874,32.874,32.874,32.874,3.871,4.999,4.688,4.714,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
90,145,58000,5.8,32.866,32.866,32.866,32.866,4.56,5.0,4.918,4.931,29.073,29.073,29.073,29.073,13.171,13.171,13.171,13.171
91,425,170000,17.0,32.866,32.866,32.866,32.866,4.214,5.0,4.763,4.828,29.073,29.073,29.073,29.073,13.171,13.171,13.171,13.171
92,83,33200,3.32,32.874,32.874,32.874,32.874,4.337,4.997,4.73,4.73,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
93,64,25600,2.56,32.874,32.874,32.874,32.874,4.548,4.998,4.836,4.864,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
94,58,23200,2.32,32.874,32.874,32.874,32.874,4.372,4.982,4.746,4.762,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
95,114,45600,4.56,32.866,32.866,32.866,32.866,4.704,4.995,4.89,4.9,29.073,29.073,29.073,29.073,13.171,13.171,13.171,13.171
96,99,39600,3.96,32.874,32.874,32.874,32.874,4.643,4.992,4.845,4.834,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
97,148,59200,5.92,32.874,32.874,32.874,32.874,3.864,4.997,4.642,4.71,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
98,95,38000,3.8,32.874,32.874,32.874,32.874,4.68,5.0,4.869,4.879,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
99,100,40000,4.0,32.874,32.874,32.874,32.874,4.498,4.998,4.805,4.801,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
100,243,97200,9.72,32.874,32.874,32.874,32.874,4.46,4.999,4.768,4.746,28.936,28.936,28.936,28.936,24.898,24.898,24.898,24.898
101,1027,410800,41.08,32.874,32.874,32.874,32.874,3.096,5.0,4.425,4.424,28.936,28.936,28.936,28.936,24.663,24.663,24.663,24.663
102,95,38000,3.8,32.874,32.874,32.874,32.874,4.14,4.992,4.679,4.706,28.936,28.936,28.936,28.936,24.663,24.663,24.663,24.663
103,102,40800,4.08,32.874,32.874,32.874,32.874,4.023,4.967,4.638,4.635,28.936,28.936,28.936,28.936,21.49,21.49,21.49,21.49
104,837,334800,33.48,32.894,32.894,32.894,32.894,3.002,4.997,4.278,4.374,28.846,28.846,28.846,28.846,18.898,18.898,18.898,18.898
