merged_group_id,final_zone_id,merge_gap_pixels,merge_gap_m,min_area_ha_threshold,passes_min_area,n_original_polygons,original_polygon_ids,original_pixel_count,merged_pixel_count,added_gap_pixel_count,original_area_ha,merged_area_ha,added_gap_area_ha
1,1,3,60,2,True,4,"1,2,3,4",1248,1643,395,49.92,65.72,15.8
2,2,3,60,2,True,2,"5,6",325,434,109,13.0,17.36,4.36
3,3,3,60,2,True,1,7,327,327,0,13.08,13.08,0.0
4,4,3,60,2,True,2,"8,9",217,260,43,8.68,10.4,1.72
5,5,3,60,2,True,1,10,2533,2804,271,101.32,112.16,10.84
6,6,3,60,2,True,1,11,57,70,13,2.28,2.8,0.52
7,7,3,60,2,True,1,12,71,77,6,2.84,3.08,0.24
8,8,3,60,2,True,1,13,62,62,0,2.48,2.48,0.0
9,9,3,60,2,True,1,14,67,71,4,2.68,2.84,0.16
10,10,3,60,2,True,1,15,523,555,32,20.92,22.2,1.28
11,11,3,60,2,True,1,16,383,611,228,15.32,24.44,9.12
12,12,3,60,2,True,1,17,169,218,49,6.76,8.72,1.96
13,13,3,60,2,True,1,18,191,218,27,7.64,8.72,1.08
14,14,3,60,2,True,1,19,536,638,102,21.44,25.52,4.08
15,15,3,60,2,True,1,20,50,50,0,2.0,2.0,0.0
16,16,3,60,2,True,1,21,127,140,13,5.08,5.6,0.52
17,17,3,60,2,True,2,"22,23",632,781,149,25.28,31.24,5.96
18,18,3,60,2,True,1,24,182,185,3,7.28,7.4,0.12
19,19,3,60,2,True,1,25,85,96,11,3.4,3.84,0.44
20,20,3,60,2,True,3,"26,29,30",766,952,186,30.64,38.08,7.44
21,21,3,60,2,True,1,27,268,309,41,10.72,12.36,1.64
22,22,3,60,2,True,6,"28,31,38,41,44,45",2970,3781,811,118.8,151.24,32.44
23,23,3,60,2,True,1,32,67,67,0,2.68,2.68,0.0
24,24,3,60,2,True,4,"33,36,40,42",973,1303,330,38.92,52.12,13.2
25,25,3,60,2,True,1,34,57,57,0,2.28,2.28,0.0
26,26,3,60,2,True,1,35,69,76,7,2.76,3.04,0.28
27,27,3,60,2,True,1,37,392,570,178,15.68,22.8,7.12
28,28,3,60,2,True,2,"39,46",1163,1467,304,46.52,58.68,12.16
29,29,3,60,2,True,2,"43,49",951,1174,223,38.04,46.96,8.92
30,30,3,60,2,True,1,47,56,73,17,2.24,2.92,0.68
31,31,3,60,2,True,1,48,59,66,7,2.36,2.64,0.28
32,32,3,60,2,True,1,50,58,78,20,2.32,3.12,0.8
33,33,3,60,2,True,1,51,254,303,49,10.16,12.12,1.96
34,34,3,60,2,True,2,"52,55",111,182,71,4.44,7.28,2.84
35,35,3,60,2,True,1,53,232,382,150,9.28,15.28,6.0
36,36,3,60,2,True,1,54,237,267,30,9.48,10.68,1.2
37,37,3,60,2,True,1,56,97,127,30,3.88,5.08,1.2
38,38,3,60,2,True,1,57,116,152,36,4.64,6.08,1.44
39,39,3,60,2,True,1,58,180,218,38,7.2,8.72,1.52
40,40,3,60,2,True,1,59,114,134,20,4.56,5.36,0.8
41,41,3,60,2,True,1,60,55,55,0,2.2,2.2,0.0
42,42,3,60,2,True,1,61,247,266,19,9.88,10.64,0.76
43,43,3,60,2,True,2,"62,63",246,284,38,9.84,11.36,1.52
44,44,3,60,2,True,1,64,54,54,0,2.16,2.16,0.0
45,45,3,60,2,True,1,65,270,316,46,10.8,12.64,1.84
46,46,3,60,2,True,1,66,1071,1452,381,42.84,58.08,15.24
47,47,3,60,2,True,2,"67,70",249,335,86,9.96,13.4,3.44
48,48,3,60,2,True,1,68,239,287,48,9.56,11.48,1.92
49,49,3,60,2,True,1,69,118,164,46,4.72,6.56,1.84
50,50,3,60,2,True,1,71,50,50,0,2.0,2.0,0.0
51,51,3,60,2,True,1,72,56,59,3,2.24,2.36,0.12
