zone_id,original_pixel_count,extension_pixel_count,original_area_ha,extension_area_ha,merged_area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
45,51,0,2.04,0.0,2.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,25,0,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,69,0,2.76,0.0,2.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,174,0,6.96,0.0,6.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,38,0,1.52,0.0,1.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,41,0,1.64,0.0,1.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,263083,36,10523.32,1.44,10524.76,32.989,33.009,33.0,33.009,4.023,7.283,5.413,5.637,28.694,28.916,28.738,28.694,11.921,19.045,17.557,17.476
52,27,0,1.08,0.0,1.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,189,0,7.56,0.0,7.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,67,0,2.68,0.0,2.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,27,0,1.08,0.0,1.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,41,0,1.64,0.0,1.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,48,0,1.92,0.0,1.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,315,75,12.6,3.0,15.6,32.989,32.989,32.989,32.989,4.029,6.047,4.572,4.464,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
59,297,45,11.88,1.8,13.68,32.989,32.989,32.989,32.989,4.055,4.92,4.466,4.434,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
60,179,2,7.16,0.08,7.24,32.989,32.989,32.989,32.989,4.032,4.399,4.215,4.215,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
61,58,13,2.32,0.52,2.84,32.989,32.989,32.989,32.989,4.048,4.778,4.284,4.199,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
62,32,6,1.28,0.24,1.52,32.989,32.989,32.989,32.989,4.07,4.372,4.201,4.191,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
63,82,5,3.28,0.2,3.48,32.989,32.989,32.989,32.989,4.064,5.546,4.552,4.392,28.786,28.786,28.786,28.786,19.882,19.882,19.882,19.882
64,2368461,607,94738.44,24.28,94762.72,32.868,32.989,32.888,32.876,4.0,7.997,6.291,6.442,28.779,29.044,28.938,29.014,6.863,19.882,11.642,12.769
65,105,0,4.2,0.0,4.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,660,0,26.4,0.0,26.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,8943,0,357.72,0.0,357.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,51,0,2.04,0.0,2.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,1173,2,46.92,0.08,47.0,32.981,32.981,32.981,32.981,7.371,7.691,7.531,7.531,29.06,29.06,29.06,29.06,5.221,5.221,5.221,5.221
70,39,0,1.56,0.0,1.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,1017,49,40.68,1.96,42.64,32.915,32.915,32.915,32.915,4.001,5.428,4.336,4.227,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
72,81,0,3.24,0.0,3.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73,51,0,2.04,0.0,2.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,25,0,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,40,0,1.6,0.0,1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
76,35,0,1.4,0.0,1.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,58,0,2.32,0.0,2.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78,172,0,6.88,0.0,6.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,50,0,2.0,0.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
80,48,0,1.92,0.0,1.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81,360,0,14.4,0.0,14.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82,41,0,1.64,0.0,1.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
83,51,0,2.04,0.0,2.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84,590,0,23.6,0.0,23.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,8485,0,339.4,0.0,339.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
86,1060,0,42.4,0.0,42.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
87,26,0,1.04,0.0,1.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
88,459,0,18.36,0.0,18.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
89,29,0,1.16,0.0,1.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,88,0,3.52,0.0,3.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
91,25,0,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
92,28,0,1.12,0.0,1.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
93,127,0,5.08,0.0,5.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
94,2279,0,91.16,0.0,91.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
95,50,0,2.0,0.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
96,30,0,1.2,0.0,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
97,78,0,3.12,0.0,3.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
98,74,0,2.96,0.0,2.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
99,41,0,1.64,0.0,1.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,49,0,1.96,0.0,1.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
101,56,0,2.24,0.0,2.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
102,72,0,2.88,0.0,2.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
103,93,0,3.72,0.0,3.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
104,243,0,9.72,0.0,9.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105,89,0,3.56,0.0,3.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
106,327,0,13.08,0.0,13.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
107,27,0,1.08,0.0,1.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
108,381,0,15.24,0.0,15.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
