zone_id,original_pixel_count,extension_pixel_count,original_area_ha,extension_area_ha,merged_area_ha,salinity_min,salinity_max,salinity_mean,salinity_median,depth_min,depth_max,depth_mean,depth_median,temperature_min,temperature_max,temperature_mean,temperature_median,sedimentation_min,sedimentation_max,sedimentation_mean,sedimentation_median
1,128,44,5.12,1.76,6.88,33.099,33.099,33.099,33.099,3.482,4.948,4.423,4.451,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
2,71,45,2.84,1.8,4.64,33.099,33.099,33.099,33.099,3.276,4.955,4.358,4.382,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
3,104,35,4.16,1.4,5.56,33.099,33.099,33.099,33.099,3.281,4.979,4.317,4.374,28.951,28.951,28.951,28.951,19.773,19.773,19.773,19.773
4,89,24,3.56,0.96,4.52,33.099,33.099,33.099,33.099,4.036,4.936,4.558,4.636,28.951,28.951,28.951,28.951,24.774,24.774,24.774,24.774
5,56,4,2.24,0.16,2.4,33.099,33.099,33.099,33.099,4.232,4.927,4.719,4.858,28.951,28.951,28.951,28.951,16.128,16.128,16.128,16.128
6,100,16,4.0,0.64,4.64,33.031,33.031,33.031,33.031,3.696,4.969,4.263,4.164,28.626,28.626,28.626,28.626,24.681,24.681,24.681,24.681
7,594,199,23.76,7.96,31.72,32.915,32.915,32.915,32.915,3.066,4.951,3.561,3.455,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
8,688,236,27.52,9.44,36.96,32.915,32.915,32.915,32.915,3.007,4.809,3.663,3.671,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
9,63,52,2.52,2.08,4.6,32.915,32.915,32.915,32.915,3.005,3.923,3.313,3.247,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
10,77,59,3.08,2.36,5.44,32.915,32.915,32.915,32.915,3.069,4.973,4.284,4.297,28.779,28.779,28.779,28.779,19.352,19.352,19.352,19.352
11,55,32,2.2,1.28,3.48,32.889,32.889,32.889,32.889,3.251,4.912,4.123,4.188,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
12,61,52,2.44,2.08,4.52,32.889,32.889,32.889,32.889,3.305,4.824,4.072,4.104,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
13,82,80,3.28,3.2,6.48,32.889,32.889,32.889,32.889,3.035,4.647,3.785,3.797,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
14,280,105,11.2,4.2,15.4,32.889,32.889,32.889,32.889,3.02,4.854,3.58,3.546,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
15,126,61,5.04,2.44,7.48,32.889,32.889,32.889,32.889,3.911,4.974,4.577,4.593,28.926,28.926,28.926,28.926,13.702,13.702,13.702,13.702
16,1629,150,65.16,6.0,71.16,32.889,32.889,32.889,32.889,3.342,4.994,4.34,4.372,28.926,28.926,28.926,28.926,16.88,19.211,18.729,19.211
17,2542,306,101.68,12.24,113.92,32.868,32.868,32.868,32.868,3.014,4.975,3.601,3.55,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
18,119,79,4.76,3.16,7.92,32.868,32.868,32.868,32.868,3.212,4.98,4.078,4.086,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
19,135,81,5.4,3.24,8.64,32.868,32.868,32.868,32.868,3.454,4.936,4.324,4.412,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
20,126,61,5.04,2.44,7.48,32.868,32.868,32.868,32.868,3.379,4.716,4.113,4.195,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
21,69,59,2.76,2.36,5.12,32.868,32.868,32.868,32.868,3.244,4.678,3.985,4.036,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
22,762,207,30.48,8.28,38.76,32.868,32.868,32.868,32.868,3.043,4.991,4.164,4.193,29.014,29.014,29.014,29.014,12.257,22.65,13.914,12.257
23,53,45,2.12,1.8,3.92,32.868,32.868,32.868,32.868,4.03,4.981,4.513,4.371,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
24,242,149,9.68,5.96,15.64,32.868,32.868,32.868,32.868,3.172,4.991,4.046,4.028,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
25,211,125,8.44,5.0,13.44,32.868,32.868,32.868,32.868,3.022,4.961,3.959,3.882,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
26,356,132,14.24,5.28,19.52,32.868,32.868,32.868,32.868,3.006,4.964,3.857,3.854,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
27,883,207,35.32,8.28,43.6,32.868,32.868,32.868,32.868,3.28,4.977,4.219,4.233,29.014,29.014,29.014,29.014,12.257,22.65,21.696,22.65
28,116,92,4.64,3.68,8.32,32.868,32.868,32.868,32.868,3.273,4.998,4.362,4.346,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
29,56,35,2.24,1.4,3.64,32.868,32.868,32.868,32.868,3.619,4.989,4.333,4.442,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
30,54,55,2.16,2.2,4.36,32.868,32.868,32.868,32.868,4.167,4.988,4.748,4.769,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
31,149,66,5.96,2.64,8.6,32.868,32.868,32.868,32.868,3.188,4.966,3.824,3.664,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
32,185,92,7.4,3.68,11.08,32.868,32.868,32.868,32.868,4.027,4.995,4.753,4.808,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
33,75,33,3.0,1.32,4.32,32.868,32.868,32.868,32.868,3.586,4.971,4.425,4.67,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
34,189,81,7.56,3.24,10.8,32.868,32.868,32.868,32.868,3.866,5.0,4.729,4.841,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
35,72,29,2.88,1.16,4.04,32.868,32.868,32.868,32.868,4.118,4.965,4.755,4.774,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
36,55,76,2.2,3.04,5.24,32.868,32.868,32.868,32.868,4.383,4.949,4.677,4.679,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
37,63,19,2.52,0.76,3.28,32.868,32.868,32.868,32.868,3.654,4.946,4.498,4.604,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
38,180,42,7.2,1.68,8.88,32.868,32.868,32.868,32.868,3.154,4.98,3.717,3.435,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
39,53,46,2.12,1.84,3.96,32.868,32.868,32.868,32.868,3.411,4.985,4.518,4.588,29.014,29.014,29.014,29.014,12.257,12.257,12.257,12.257
40,101,77,4.04,3.08,7.12,32.868,32.868,32.868,32.868,3.509,4.998,4.4,4.56,29.014,29.014,29.014,29.014,22.65,22.65,22.65,22.65
