merged_group_id,final_zone_id,merge_gap_pixels,merge_gap_m,min_area_ha_threshold,passes_min_area,n_original_polygons,original_polygon_ids,original_pixel_count,merged_pixel_count,added_gap_pixel_count,original_area_ha,merged_area_ha,added_gap_area_ha
1,1,3,60,2,True,1,1,5037,5037,0,201.48,201.48,0.0
2,2,3,60,2,True,15,"2,3,5,6,8,9,10,11,12,13,15,16,17,18,19",239449,257181,17732,9577.96,10287.24,709.28
3,3,3,60,2,True,1,4,1577,1881,304,63.08,75.24,12.16
4,4,3,60,2,True,1,7,60,77,17,2.4,3.08,0.68
5,5,3,60,2,True,1,14,3566,3578,12,142.64,143.12,0.48
6,6,3,60,2,True,1,20,57,58,1,2.28,2.32,0.04
7,7,3,60,2,True,6,"21,22,23,25,27,28",393266,395996,2730,15730.64,15839.84,109.2
8,8,3,60,2,True,1,24,548,698,150,21.92,27.92,6.0
9,9,3,60,2,True,1,26,81,100,19,3.24,4.0,0.76
10,10,3,60,2,True,5,"29,30,31,32,34",139304,143361,4057,5572.16,5734.44,162.28
11,11,3,60,2,True,1,33,69,84,15,2.76,3.36,0.6
12,12,3,60,2,True,2,"35,37",263150,266533,3383,10526.0,10661.32,135.32
13,13,3,60,2,True,1,36,189,247,58,7.56,9.88,2.32
14,14,3,60,2,True,2,"38,39",612,819,207,24.48,32.76,8.28
15,15,3,60,2,True,1,40,179,281,102,7.16,11.24,4.08
16,16,3,60,2,True,1,41,58,75,17,2.32,3.0,0.68
17,17,3,60,2,True,24,"42,43,44,45,46,47,48,49,50,52,53,54,56,73,75,77,80,81,83,84,85,86,87,88",2396688,2420443,23755,95867.52,96817.72,950.2
18,18,3,60,2,True,1,51,51,57,6,2.04,2.28,0.24
19,19,3,60,2,True,4,"55,60,64,65",947,1549,602,37.88,61.96,24.08
20,20,3,60,2,True,6,"57,58,62,76,78,79",9416,14315,4899,376.64,572.6,195.96
21,21,3,60,2,True,1,59,1060,1275,215,42.4,51.0,8.6
22,22,3,60,2,True,2,"61,63",2367,2772,405,94.68,110.88,16.2
23,23,3,60,2,True,1,66,74,92,18,2.96,3.68,0.72
24,24,3,60,2,True,6,"67,68,69,71,72,74",891,1464,573,35.64,58.56,22.92
25,25,3,60,2,True,1,70,243,289,46,9.72,11.56,1.84
26,26,3,60,2,True,1,82,156,170,14,6.24,6.8,0.56
